title,title_detail,link,links,author,authors,published,published_parsed,tags,id,guidislink,summary,source,appids,title_summary,nouns,date_str
The Steam Summer Sale Returns Again for 2022,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'The Steam Summer Sale Returns Again for 2022'}",https://tagn.wordpress.com/2022/06/24/the-steam-summer-sale-returns-again-for-2022/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/24/the-steam-summer-sale-returns-again-for-2022/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Fri, 24 Jun 2022 16:15:37 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=16, tm_min=15, tm_sec=37, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'Steam', 'scheme': None, 'label': None}, {'term': '2022', 'scheme': None, 'label': None}, {'term': 'Steam Summer Sale', 'scheme': None, 'label': None}, {'term': 'XBox Game Pass', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100444,False,"summer has returned, so here we are again at the launch or another steam summer sale.  the sale actually started yesterday, but i didn’t really feel the need to jump right on that with a post as i have done in past years. i write about the annual steam summer and winter sales as much […]",ancient_gaming,,"The Steam Summer Sale Returns Again for 2022 summer has returned, so here we are again at the launch or another steam summer sale.  the sale actually started yesterday, but i didn’t really feel the need to jump right on that with a post as i have done in past years. i write about the annual steam summer and winter sales as much […]","['another steam summer sale', 'a post', 'the annual steam summer', 'the sale', 'the launch', 'the need', 'past years', 'the steam summer sale returns', 'winter sales', '2022 summer']",2022-06-24 16:15:37
Facing Yagluth at last in Valheim,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'Facing Yagluth at last in Valheim'}",https://tagn.wordpress.com/2022/06/23/facing-yagluth-at-last-in-valheim/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/23/facing-yagluth-at-last-in-valheim/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Thu, 23 Jun 2022 17:15:23 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=17, tm_min=15, tm_sec=23, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'Instance Group', 'scheme': None, 'label': None}, {'term': 'Valheim', 'scheme': None, 'label': None}, {'term': 'Yagluth', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100360,False,"the one thing we ended up not doing as part of our first pass through valheim was fight the final boss of the plains, yagluth.  i had set us up for it… and i even did a test run with another group on their server… but we ended up never getting to yagluth on our […]",ancient_gaming,892970,"Facing Yagluth at last in Valheim the one thing we ended up not doing as part of our first pass through valheim was fight the final boss of the plains, yagluth.  i had set us up for it… and i even did a test run with another group on their server… but we ended up never getting to yagluth on our […]","['our first pass', 'part', 'their server', 'valheim', 'another group', 'a test', 'the final boss', 'us', 'yagluth', 'the one thing', 'the plains']",2022-06-23 17:15:23
World of Warcraft Dragonflight up for Pre-Order and Promising a Q4 2022 Release,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'World of Warcraft Dragonflight up for Pre-Order and Promising a Q4 2022 Release'}",https://tagn.wordpress.com/2022/06/22/world-of-warcraft-dragonflight-up-for-pre-order-and-promising-a-q4-2022-release/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/22/world-of-warcraft-dragonflight-up-for-pre-order-and-promising-a-q4-2022-release/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Wed, 22 Jun 2022 17:00:31 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=22, tm_hour=17, tm_min=0, tm_sec=31, tm_wday=2, tm_yday=173, tm_isdst=0)","[{'term': 'Blizzard', 'scheme': None, 'label': None}, {'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'World of Warcraft', 'scheme': None, 'label': None}, {'term': 'Dragonflight', 'scheme': None, 'label': None}, {'term': 'Shadowlands', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100392,False,blizzard would like you to please give them some money now for their upcoming “all the dragon things we could come up with” world of warcraft expansion dragonflight. announced back in april (on 4/20 no less) you can roll up the dragon race to play the dragon class on the dragon island where you will […],ancient_gaming,,World of Warcraft Dragonflight up for Pre-Order and Promising a Q4 2022 Release blizzard would like you to please give them some money now for their upcoming “all the dragon things we could come up with” world of warcraft expansion dragonflight. announced back in april (on 4/20 no less) you can roll up the dragon race to play the dragon class on the dragon island where you will […],"['april', 'warcraft dragonflight', 'a q4 2022 release blizzard', 'the dragon race', 'order', 'world', 'the dragon class', 'some money', 'warcraft expansion dragonflight', '-', 'pre', 'their upcoming “all the dragon things', 'the dragon island']",2022-06-22 17:00:31
Reflecting on the CSM17 Ballots and Voting,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'Reflecting on the CSM17 Ballots and Voting'}",https://tagn.wordpress.com/2022/06/21/reflecting-on-the-csm17-ballots-and-voting/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/21/reflecting-on-the-csm17-ballots-and-voting/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Tue, 21 Jun 2022 16:15:33 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=21, tm_hour=16, tm_min=15, tm_sec=33, tm_wday=1, tm_yday=172, tm_isdst=0)","[{'term': 'CCP', 'scheme': None, 'label': None}, {'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'EVE Online', 'scheme': None, 'label': None}, {'term': 'Null Sec', 'scheme': None, 'label': None}, {'term': 'Council of Stellar Management', 'scheme': None, 'label': None}, {'term': 'CSM17', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100270,False,"we had the csm17 election results last week, the culmination of a couple months of effort and the outcome was about as expected.  null sec candidates won a majority of the seats.  that they won 8 rather than 7 was probably the closest we got to a surprise. i am being a bit glib with […]",ancient_gaming,8500,"Reflecting on the CSM17 Ballots and Voting we had the csm17 election results last week, the culmination of a couple months of effort and the outcome was about as expected.  null sec candidates won a majority of the seats.  that they won 8 rather than 7 was probably the closest we got to a surprise. i am being a bit glib with […]","['null sec candidates', 'a majority', 'the outcome', 'a couple months', 'the csm17 ballots', 'voting', 'the seats', 'effort', 'the csm17 election results', 'the culmination', 'a surprise']",2022-06-21 16:15:33
The Imperium Deploys East for War,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'The Imperium Deploys East for War'}",https://tagn.wordpress.com/2022/06/20/the-imperium-deploys-east-for-war/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/20/the-imperium-deploys-east-for-war/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Mon, 20 Jun 2022 17:15:44 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=20, tm_hour=17, tm_min=15, tm_sec=44, tm_wday=0, tm_yday=171, tm_isdst=0)","[{'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'EVE Online', 'scheme': None, 'label': None}, {'term': 'Null Sec', 'scheme': None, 'label': None}, {'term': 'Catch', 'scheme': None, 'label': None}, {'term': 'Impass', 'scheme': None, 'label': None}, {'term': 'Imperium', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100343,False,"the initiative and the goon expeditionary force just spent two months burning down fi.re’s territory, sweeping clear the flood plains before their home, arriving at the gates of the main staging system in tenerifis.  we returned from that operation at the end of the first week of the month. that expedition came about because fi.re […]",ancient_gaming,8500,"The Imperium Deploys East for War the initiative and the goon expeditionary force just spent two months burning down fi.re’s territory, sweeping clear the flood plains before their home, arriving at the gates of the main staging system in tenerifis.  we returned from that operation at the end of the first week of the month. that expedition came about because fi.re […]","['war', 'two months', 'fi.re’s territory', 'the flood', 'that expedition', 'the month', 'the gates', 'the main staging system', 'their home', 'tenerifis', 'fi.re', 'that operation', 'the imperium', 'the end', 'the initiative', 'the first week', 'the goon expeditionary force']",2022-06-20 17:15:44
Vader and DALL-E,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'Vader and DALL-E'}",https://tagn.wordpress.com/2022/06/19/vader-and-dall-e/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/19/vader-and-dall-e/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Sun, 19 Jun 2022 16:15:30 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=19, tm_hour=16, tm_min=15, tm_sec=30, tm_wday=6, tm_yday=170, tm_isdst=0)","[{'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'AI', 'scheme': None, 'label': None}, {'term': 'Art', 'scheme': None, 'label': None}, {'term': 'Dali', 'scheme': None, 'label': None}, {'term': 'DALL-E', 'scheme': None, 'label': None}, {'term': 'Darth Vader', 'scheme': None, 'label': None}, {'term': 'Mark Twain', 'scheme': None, 'label': None}, {'term': 'Roy Lichtenstein', 'scheme': None, 'label': None}, {'term': 'Star Wars', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100286,False,"if you’ve been around some parts of the internet lately you may have run across a recent obsession with dall-e, and ai art generation program that takes prompts you feed it and attempts to generate output based on it.  specifically, a variation called dall-e mini, which pulls data from the internet to create art based […]",ancient_gaming,,"Vader and DALL-E if you’ve been around some parts of the internet lately you may have run across a recent obsession with dall-e, and ai art generation program that takes prompts you feed it and attempts to generate output based on it.  specifically, a variation called dall-e mini, which pulls data from the internet to create art based […]","['a recent obsession', 'prompts', 'specifically, a variation', 'output', 'dall-e mini', 'vader', 'art', 'dall-e', 'data', 'some parts', 'the internet', 'art generation program']",2022-06-19 16:15:30
Josh Strife Hayes and The Immoral Design of Diablo Immortal,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'Josh Strife Hayes and The Immoral Design of Diablo Immortal'}",https://tagn.wordpress.com/2022/06/18/josh-strife-hayes-and-the-immoral-design-of-diablo-immortal/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/18/josh-strife-hayes-and-the-immoral-design-of-diablo-immortal/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Sat, 18 Jun 2022 17:15:58 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=18, tm_hour=17, tm_min=15, tm_sec=58, tm_wday=5, tm_yday=169, tm_isdst=0)","[{'term': 'Blizzard', 'scheme': None, 'label': None}, {'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'YouTube', 'scheme': None, 'label': None}, {'term': 'Diablo Immortal', 'scheme': None, 'label': None}, {'term': 'Josh Strife Hayes', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100197,False,diablo immortal has been out and about for more than two weeks now and has gotten a lot of flak for its monetization. i made my own post about the game after playing it for a little over two hours and pretty much walked away from it.  it is uninstalled and i have no plans […],ancient_gaming,1337650,Josh Strife Hayes and The Immoral Design of Diablo Immortal diablo immortal has been out and about for more than two weeks now and has gotten a lot of flak for its monetization. i made my own post about the game after playing it for a little over two hours and pretty much walked away from it.  it is uninstalled and i have no plans […],"['josh strife hayes', 'diablo immortal diablo immortal', 'its monetization', 'my own post', 'no plans', 'more than two weeks', 'a lot', 'the immoral design', 'a little over two hours', 'the game', 'flak']",2022-06-18 17:15:58
Introducing Your CSM17 Representatives,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'Introducing Your CSM17 Representatives'}",https://tagn.wordpress.com/2022/06/17/introducing-your-csm17-representatives/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/17/introducing-your-csm17-representatives/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Fri, 17 Jun 2022 11:15:15 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=11, tm_min=15, tm_sec=15, tm_wday=4, tm_yday=168, tm_isdst=0)","[{'term': 'CCP', 'scheme': None, 'label': None}, {'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'EVE Online', 'scheme': None, 'label': None}, {'term': 'Null Sec', 'scheme': None, 'label': None}, {'term': 'Council of Stellar Management', 'scheme': None, 'label': None}, {'term': 'CSM17', 'scheme': None, 'label': None}, {'term': 'Twitch', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100241,False,"as has become standard practice, ccp did an hour long election reveal on twitch yesterday to announce the winners of the csm17 election. for those who want to cut straight to the end results, here are the 10 candidates that made the cut for csm17 the winners were: or, listed out in alphabetical order: angry […]",ancient_gaming,8500,"Introducing Your CSM17 Representatives as has become standard practice, ccp did an hour long election reveal on twitch yesterday to announce the winners of the csm17 election. for those who want to cut straight to the end results, here are the 10 candidates that made the cut for csm17 the winners were: or, listed out in alphabetical order: angry […]","['the csm17 election', 'an hour long election reveal', 'your csm17 representatives', 'alphabetical order', 'the 10 candidates', 'the cut', 'standard practice', 'csm17', 'twitch', 'the winners', 'the end results']",2022-06-17 11:15:15
Planning for Wrath of the Lich King Classic,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'Planning for Wrath of the Lich King Classic'}",https://tagn.wordpress.com/2022/06/16/planning-for-wrath-of-the-lich-king-classic/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/16/planning-for-wrath-of-the-lich-king-classic/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Thu, 16 Jun 2022 18:15:53 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=16, tm_hour=18, tm_min=15, tm_sec=53, tm_wday=3, tm_yday=167, tm_isdst=0)","[{'term': 'Blizzard', 'scheme': None, 'label': None}, {'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'World of Warcraft', 'scheme': None, 'label': None}, {'term': 'WoW Classic', 'scheme': None, 'label': None}, {'term': 'Wrath of the Lich King', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100222,False,"wrath of the lich king classic is coming.  it will land at some point this year.  probably by the end of summer, if my guess is correct. the last time i checked there was still some interest in our regular group, a desire to go back to northrend and face the challenges of what might […]",ancient_gaming,,"Planning for Wrath of the Lich King Classic wrath of the lich king classic is coming.  it will land at some point this year.  probably by the end of summer, if my guess is correct. the last time i checked there was still some interest in our regular group, a desire to go back to northrend and face the challenges of what might […]","['the challenges', 'my guess', 'wrath', 'a desire', 'some point', 'the lich king classic wrath', 'summer', 'the lich king classic', 'some interest', 'the end', 'our regular group']",2022-06-16 18:15:53
Gallente Federation Day and the Federation Grand Prix Return to EVE Online,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/TheAncientGamingNoob', 'value': 'Gallente Federation Day and the Federation Grand Prix Return to EVE Online'}",https://tagn.wordpress.com/2022/06/16/gallente-federation-day-and-the-federation-grand-prix-return-to-eve-online/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://tagn.wordpress.com/2022/06/16/gallente-federation-day-and-the-federation-grand-prix-return-to-eve-online/'}]",Wilhelm Arcturus,[{'name': 'Wilhelm Arcturus'}],"Thu, 16 Jun 2022 15:00:14 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=16, tm_hour=15, tm_min=0, tm_sec=14, tm_wday=3, tm_yday=167, tm_isdst=0)","[{'term': 'entertainment', 'scheme': None, 'label': None}, {'term': 'EVE Online', 'scheme': None, 'label': None}, {'term': 'Federation Day', 'scheme': None, 'label': None}, {'term': 'Federation Grand Prix', 'scheme': None, 'label': None}]",http://tagn.wordpress.com/?p=100230,False,"the gallente federation day events kick off today in new eden. there are daily login rewards to celebrate the gallente federation. as usual, those with omega accounts get more rewards. there are also the daily tasks, like visiting one of the federation day parade sites (located in luminaire, villore, dodixie, lirsautton, alentene, orvolle, and octanneve) […]",ancient_gaming,8500,"Gallente Federation Day and the Federation Grand Prix Return to EVE Online the gallente federation day events kick off today in new eden. there are daily login rewards to celebrate the gallente federation. as usual, those with omega accounts get more rewards. there are also the daily tasks, like visiting one of the federation day parade sites (located in luminaire, villore, dodixie, lirsautton, alentene, orvolle, and octanneve) […]","['alentene', 'the daily tasks', 'the gallente federation day events', 'the federation day parade sites', 'lirsautton', 'luminaire', 'daily login rewards', 'more rewards', 'villore', 'dodixie', 'the gallente federation', 'omega accounts', 'new eden', 'orvolle']",2022-06-16 15:00:14
