title,title_detail,link,links,author,authors,published,published_parsed,tags,id,guidislink,summary,source,appids,title_summary,nouns,date_str
"Redout 2 Review in 3 Minutes – High-Risk, High-Reward Breakneck Racing","{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'Redout 2 Review in 3 Minutes – High-Risk, High-Reward Breakneck Racing'}",https://www.escapistmagazine.com/redout-2-review-in-3-minutes-high-risk-high-reward-breakneck-racing/?utm_source=rss&utm_medium=rss&utm_campaign=redout-2-review-in-3-minutes-high-risk-high-reward-breakneck-racing,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/redout-2-review-in-3-minutes-high-risk-high-reward-breakneck-racing/?utm_source=rss&utm_medium=rss&utm_campaign=redout-2-review-in-3-minutes-high-risk-high-reward-breakneck-racing'}]",KC Nwosu,[{'name': 'KC Nwosu'}],"Fri, 24 Jun 2022 17:00:53 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=17, tm_min=0, tm_sec=53, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'Review in 3 Minutes', 'scheme': None, 'label': None}, {'term': 'Reviews', 'scheme': None, 'label': None}, {'term': 'Video Games', 'scheme': None, 'label': None}, {'term': 'Video Series', 'scheme': None, 'label': None}, {'term': '34BigThings', 'scheme': None, 'label': None}, {'term': 'Redout 2', 'scheme': None, 'label': None}, {'term': 'Saber Interactive', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122709,False,"redout 2 is a futuristic racing game from 34bigthings in the vein of wipeout and f-zero. this sequel to the 2016 title takes players back to the far future where humans spectate and compete in the srrl, the solar redout racing league, a hyperspeed anti-grav motorsport. while redout 2 doesn’t have an overt plot, it has immersive and complex lore involving interplanetary colonization, war, and industry that is reflected in the background environments and in historical tidbits shared by a disembodied announcer. gameplay is all about racing though. you’ll control and unlock sleek and pointy futuristic racing ships that reach […]",escapist_mag,1799930,"Redout 2 Review in 3 Minutes – High-Risk, High-Reward Breakneck Racing redout 2 is a futuristic racing game from 34bigthings in the vein of wipeout and f-zero. this sequel to the 2016 title takes players back to the far future where humans spectate and compete in the srrl, the solar redout racing league, a hyperspeed anti-grav motorsport. while redout 2 doesn’t have an overt plot, it has immersive and complex lore involving interplanetary colonization, war, and industry that is reflected in the background environments and in historical tidbits shared by a disembodied announcer. gameplay is all about racing though. you’ll control and unlock sleek and pointy futuristic racing ships that reach […]","['the vein', 'historical tidbits', 'the background environments', 'war', 'the 2016 title', 'an overt plot', '2 review', 'interplanetary colonization', 'racing league', 'redout', 'a futuristic racing game', 'the far future', 'humans', 'immersive and complex lore', 'players', 'a disembodied announcer', 'wipeout', 'gameplay', 'industry', 'this sequel', 'the srrl', 'sleek and pointy futuristic racing ships', 'a hyperspeed anti-grav motorsport', '3 minutes']",2022-06-24 17:00:53
"In ‘Herogasm,’ The Boys Puts the ‘Fun’ in ‘Superhero Fundamentals’","{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'In ‘Herogasm,’ The Boys Puts the ‘Fun’ in ‘Superhero Fundamentals’'}",https://www.escapistmagazine.com/in-herogasm-the-boys-puts-the-fun-in-superhero-fundamentals/?utm_source=rss&utm_medium=rss&utm_campaign=in-herogasm-the-boys-puts-the-fun-in-superhero-fundamentals,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/in-herogasm-the-boys-puts-the-fun-in-superhero-fundamentals/?utm_source=rss&utm_medium=rss&utm_campaign=in-herogasm-the-boys-puts-the-fun-in-superhero-fundamentals'}]",Darren Mooney,[{'name': 'Darren Mooney'}],"Fri, 24 Jun 2022 16:00:51 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=16, tm_min=0, tm_sec=51, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'Movies & TV', 'scheme': None, 'label': None}, {'term': 'Opinion', 'scheme': None, 'label': None}, {'term': 'Written Reviews', 'scheme': None, 'label': None}, {'term': 'Amazon', 'scheme': None, 'label': None}, {'term': 'Featured', 'scheme': None, 'label': None}, {'term': 'The Boys', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122684,False,"this discussion and review contains spoilers for the boys season 3, episode 6, “herogasm.” as interesting as it is to discuss the boys in terms of the show’s study of masculinity, fatherhood, and american identity, it is easy to overlook one very simple aspect of the series: it’s fun. there are legitimate criticisms to be made about the pacing and the structure of the boys. each of the three seasons to date has been structured as something akin to a decompressed comic book arc — a story with a core ensemble and a new guest cast, built around strong thematic […]",escapist_mag,,"In ‘Herogasm,’ The Boys Puts the ‘Fun’ in ‘Superhero Fundamentals’ this discussion and review contains spoilers for the boys season 3, episode 6, “herogasm.” as interesting as it is to discuss the boys in terms of the show’s study of masculinity, fatherhood, and american identity, it is easy to overlook one very simple aspect of the series: it’s fun. there are legitimate criticisms to be made about the pacing and the structure of the boys. each of the three seasons to date has been structured as something akin to a decompressed comic book arc — a story with a core ensemble and a new guest cast, built around strong thematic […]","['spoilers', 'a core ensemble', 'a decompressed comic book arc', 'a story', 'masculinity', 'the series', 'date', 'terms', 'american identity', 'fatherhood', 'a new guest cast', 'the structure', 'this discussion', 'one very simple aspect', '‘superhero fundamentals', 'the ‘fun', '‘herogasm', 'review', 'something', 'the show’s study', 'the pacing', 'the three seasons', 'legitimate criticisms', 'the boys']",2022-06-24 16:00:51
"Obi-Wan Kenobi Lacks a Point of View, Certain or Otherwise","{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'Obi-Wan Kenobi Lacks a Point of View, Certain or Otherwise'}",https://www.escapistmagazine.com/obi-wan-kenobi-part-vi-finale-review-no-direction-failed-storytelling/?utm_source=rss&utm_medium=rss&utm_campaign=obi-wan-kenobi-part-vi-finale-review-no-direction-failed-storytelling,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/obi-wan-kenobi-part-vi-finale-review-no-direction-failed-storytelling/?utm_source=rss&utm_medium=rss&utm_campaign=obi-wan-kenobi-part-vi-finale-review-no-direction-failed-storytelling'}]",Darren Mooney,[{'name': 'Darren Mooney'}],"Fri, 24 Jun 2022 15:00:05 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=15, tm_min=0, tm_sec=5, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'Column', 'scheme': None, 'label': None}, {'term': 'In the Frame', 'scheme': None, 'label': None}, {'term': 'Disney Plus', 'scheme': None, 'label': None}, {'term': 'Featured', 'scheme': None, 'label': None}, {'term': 'Obi-Wan Kenobi', 'scheme': None, 'label': None}, {'term': 'Star Wars', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122697,False,"this article contains spoilers for the obi-wan kenobi finale, “part vi,” on disney+. immediately following the release of the final episode of obi-wan kenobi, four words trended on social media: “he said the thing.” this feels like a fitting encapsulation of not just obi-wan kenobi, but so much of modern pop culture. obi-wan kenobi started with a reasonable amount of promise. an introspective premiere suggested that the miniseries might offer a character-driven narrative focusing on the eponymous jedi, played by ewan mcgregor. the early episodes were generally light on fan service and surprisingly restrained when it came to constructing content […]",escapist_mag,,"Obi-Wan Kenobi Lacks a Point of View, Certain or Otherwise this article contains spoilers for the obi-wan kenobi finale, “part vi,” on disney+. immediately following the release of the final episode of obi-wan kenobi, four words trended on social media: “he said the thing.” this feels like a fitting encapsulation of not just obi-wan kenobi, but so much of modern pop culture. obi-wan kenobi started with a reasonable amount of promise. an introspective premiere suggested that the miniseries might offer a character-driven narrative focusing on the eponymous jedi, played by ewan mcgregor. the early episodes were generally light on fan service and surprisingly restrained when it came to constructing content […]","['a point', 'modern pop culture', 'spoilers', 'a character-driven narrative', 'the early episodes', 'the release', 'a fitting encapsulation', 'a reasonable amount', 'the thing', 'disney+', 'the final episode', 'fan service', 'part vi', 'this article', 'obi-wan kenobi', 'the miniseries', 'an introspective premiere', 'content', 'social media', 'the eponymous jedi', 'not just obi-wan kenobi', 'view', 'the obi-wan kenobi finale', 'ewan mcgregor', 'promise']",2022-06-24 15:00:05
Unannounced FromSoftware Game in Final Stages of Development,"{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'Unannounced FromSoftware Game in Final Stages of Development'}",https://www.escapistmagazine.com/unannounced-fromsoftware-game-final-stages-development-hidetaka-miyazaki-armored-core-elden-ring/?utm_source=rss&utm_medium=rss&utm_campaign=unannounced-fromsoftware-game-final-stages-development-hidetaka-miyazaki-armored-core-elden-ring,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/unannounced-fromsoftware-game-final-stages-development-hidetaka-miyazaki-armored-core-elden-ring/?utm_source=rss&utm_medium=rss&utm_campaign=unannounced-fromsoftware-game-final-stages-development-hidetaka-miyazaki-armored-core-elden-ring'}]",John Friscia,[{'name': 'John Friscia'}],"Fri, 24 Jun 2022 14:33:27 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=14, tm_min=33, tm_sec=27, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Video Games', 'scheme': None, 'label': None}, {'term': 'Armored Core', 'scheme': None, 'label': None}, {'term': 'Elden Ring', 'scheme': None, 'label': None}, {'term': 'FromSoftware', 'scheme': None, 'label': None}, {'term': 'Hidetaka Miyazaki', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122706,False,"fromsoftware president and dark souls / elden ring director hidetaka miyazaki has done an interview with japanese outlet 4gamer, in which he revealed an unannounced fromsoftware game is in its “final stages” of development. per gematsu translation, miyazaki also stated he is working on his next game as director (another unannounced title), and he cryptically added that he would like to work on “more abstract fantasy” than anything the developer has previously done. it’s hard to pin down exactly what any one project might be, as fromsoftware has “several” games in development by directors other than miyazaki. he said elden ring […]",escapist_mag,1245620,"Unannounced FromSoftware Game in Final Stages of Development fromsoftware president and dark souls / elden ring director hidetaka miyazaki has done an interview with japanese outlet 4gamer, in which he revealed an unannounced fromsoftware game is in its “final stages” of development. per gematsu translation, miyazaki also stated he is working on his next game as director (another unannounced title), and he cryptically added that he would like to work on “more abstract fantasy” than anything the developer has previously done. it’s hard to pin down exactly what any one project might be, as fromsoftware has “several” games in development by directors other than miyazaki. he said elden ring […]","['development fromsoftware president', 'director', 'an interview', 'dark souls', 'miyazaki', '“several” games', 'an unannounced fromsoftware game', 'development', 'elden ring', 'his next game', 'elden ring director hidetaka miyazaki', 'fromsoftware', 'japanese outlet', 'another unannounced title', '4gamer', 'anything', 'translation', 'its “final stages', 'exactly what', '“more abstract fantasy', 'the developer', 'unannounced fromsoftware game', 'gematsu', 'final stages', 'directors', 'any one project']",2022-06-24 14:33:27
"Chris Pratt Says His Mario Voice is ‘Updated,’ ‘Unlike Anything You’ve Heard’","{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'Chris Pratt Says His Mario Voice is ‘Updated,’ ‘Unlike Anything You’ve Heard’'}",https://www.escapistmagazine.com/chris-pratt-says-his-mario-voice-is-updated-unlike-anything-youve-heard/?utm_source=rss&utm_medium=rss&utm_campaign=chris-pratt-says-his-mario-voice-is-updated-unlike-anything-youve-heard,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/chris-pratt-says-his-mario-voice-is-updated-unlike-anything-youve-heard/?utm_source=rss&utm_medium=rss&utm_campaign=chris-pratt-says-his-mario-voice-is-updated-unlike-anything-youve-heard'}]",John Friscia,[{'name': 'John Friscia'}],"Thu, 23 Jun 2022 22:11:53 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=22, tm_min=11, tm_sec=53, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Video Games', 'scheme': None, 'label': None}, {'term': 'Chris Pratt', 'scheme': None, 'label': None}, {'term': 'Super Mario movie', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122680,False,"what will chris pratt sound like as the voice of super mario in the upcoming illumination movie? it is the mundane question that is setting the world on fire. will he just sound like chris pratt? will he sound like an embarrassing caricature? will he be completely mute as a weird prank on the audience? today, chris pratt elaborated a bit on his super mario voice to variety, saying the voice has been “updated” and “unlike anything you’ve heard” from the franchise so far: i worked really closely with the directors and trying out a few things and landed on […]",escapist_mag,,"Chris Pratt Says His Mario Voice is ‘Updated,’ ‘Unlike Anything You’ve Heard’ what will chris pratt sound like as the voice of super mario in the upcoming illumination movie? it is the mundane question that is setting the world on fire. will he just sound like chris pratt? will he sound like an embarrassing caricature? will he be completely mute as a weird prank on the audience? today, chris pratt elaborated a bit on his super mario voice to variety, saying the voice has been “updated” and “unlike anything you’ve heard” from the franchise so far: i worked really closely with the directors and trying out a few things and landed on […]","['variety', 'the franchise', 'the world', 'the audience', 'his super mario voice', 'super mario', 'the upcoming illumination movie', 'chris pratt', 'his mario voice', 'anything', 'the directors', 'a few things', 'a weird prank', 'the voice', 'an embarrassing caricature', 'a bit', 'fire', 'the mundane question']",2022-06-23 22:11:53
Nintendo eShop Big Ol’ Super Sale Takes Upward of 50% Off Tons of Games,"{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'Nintendo eShop Big Ol’ Super Sale Takes Upward of 50% Off Tons of Games'}",https://www.escapistmagazine.com/nintendo-eshop-big-ol-super-sale-switch-game-deals-savings-june-july-2022-2/?utm_source=rss&utm_medium=rss&utm_campaign=nintendo-eshop-big-ol-super-sale-switch-game-deals-savings-june-july-2022-2,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/nintendo-eshop-big-ol-super-sale-switch-game-deals-savings-june-july-2022-2/?utm_source=rss&utm_medium=rss&utm_campaign=nintendo-eshop-big-ol-super-sale-switch-game-deals-savings-june-july-2022-2'}]",John Friscia,[{'name': 'John Friscia'}],"Thu, 23 Jun 2022 18:57:52 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=18, tm_min=57, tm_sec=52, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Video Games', 'scheme': None, 'label': None}, {'term': 'Nintendo Switch', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122676,False,"the nintendo eshop big ol’ super sale has begun in north america, offering deals and discounts for upward of 50% off myriad digital nintendo switch games and even a few nintendo 3ds games. the nintendo sales & deals page outlines hundreds of sales, but nintendo has also provided a sampling of the deals below, which include first-party titles like super mario odyssey and hot third-party titles like shin megami tensei v, no more heroes 3, and bravely default ii. whatever type of game you’re in the market for, there’s a decent chance it’s on sale digitally right now. the nintendo eshop […]",escapist_mag,1420290,"Nintendo eShop Big Ol’ Super Sale Takes Upward of 50% Off Tons of Games the nintendo eshop big ol’ super sale has begun in north america, offering deals and discounts for upward of 50% off myriad digital nintendo switch games and even a few nintendo 3ds games. the nintendo sales & deals page outlines hundreds of sales, but nintendo has also provided a sampling of the deals below, which include first-party titles like super mario odyssey and hot third-party titles like shin megami tensei v, no more heroes 3, and bravely default ii. whatever type of game you’re in the market for, there’s a decent chance it’s on sale digitally right now. the nintendo eshop […]","['the market', 'whatever type', 'super mario odyssey and hot third-party titles', 'sale', 'the nintendo sales & deals page', 'nintendo eshop big ol’ super sale', 'no more heroes', 'games', 'myriad digital nintendo switch games', 'nintendo', 'a sampling', 'the nintendo eshop big ol’ super sale', 'sales', 'first-party titles', 'north america', 'shin megami', 'game', 'ii', 'tons', 'hundreds', 'a decent chance', '50%', 'discounts', 'deals', 'the nintendo eshop', 'the deals']",2022-06-23 18:57:52
A Plague Tale: Requiem Release Date Revealed in Extended Gameplay Trailer,"{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'A Plague Tale: Requiem Release Date Revealed in Extended Gameplay Trailer'}",https://www.escapistmagazine.com/a-plague-tale-requiem-release-date-revealed-in-extended-gameplay-trailer/?utm_source=rss&utm_medium=rss&utm_campaign=a-plague-tale-requiem-release-date-revealed-in-extended-gameplay-trailer,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/a-plague-tale-requiem-release-date-revealed-in-extended-gameplay-trailer/?utm_source=rss&utm_medium=rss&utm_campaign=a-plague-tale-requiem-release-date-revealed-in-extended-gameplay-trailer'}]",Michael Cripe,[{'name': 'Michael Cripe'}],"Thu, 23 Jun 2022 17:11:15 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=17, tm_min=11, tm_sec=15, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Video Games', 'scheme': None, 'label': None}, {'term': 'A Plague Tale: Requiem', 'scheme': None, 'label': None}, {'term': 'Asobo Studio', 'scheme': None, 'label': None}, {'term': 'Focus Entertainment', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122668,False,"asobo studio and focus entertainment published a 12-minute gameplay trailer for a plague tale: requiem, revealing a release date of october 18, 2022 for pc, nintendo switch (via cloud), playstation 5, xbox series x | s, and xbox game pass. the showcase follows amicia and hugo as they use their new tricks and tactics to evade soldiers. they’re more capable now than ever, but it looks like they’ll need their new skills in this sequel that looks just as bleak as its predecessor. see a plague tale: requiem in action in the extended gameplay trailer below. the video also shows […]",escapist_mag,1182900,"A Plague Tale: Requiem Release Date Revealed in Extended Gameplay Trailer asobo studio and focus entertainment published a 12-minute gameplay trailer for a plague tale: requiem, revealing a release date of october 18, 2022 for pc, nintendo switch (via cloud), playstation 5, xbox series x | s, and xbox game pass. the showcase follows amicia and hugo as they use their new tricks and tactics to evade soldiers. they’re more capable now than ever, but it looks like they’ll need their new skills in this sequel that looks just as bleak as its predecessor. see a plague tale: requiem in action in the extended gameplay trailer below. the video also shows […]","['pc', 'the extended gameplay trailer', 'xbox game pass', '| s', 'extended gameplay trailer asobo studio', 'playstation', 'action', 'the video', 'nintendo switch', 'a release date', 'october', 'a plague tale', 'requiem', 'entertainment', 'the showcase', 'tactics', 'amicia', 'its predecessor', 'their new skills', 'requiem release date', 'this sequel', 'soldiers', 'cloud', 'their new tricks', 'a 12-minute gameplay trailer', 'xbox series', 'hugo']",2022-06-23 17:11:15
Tiny Tina’s Wonderlands Nails the Nonsensical Improv of D&D – Quest Log,"{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'Tiny Tina’s Wonderlands Nails the Nonsensical Improv of D&D – Quest Log'}",https://www.escapistmagazine.com/tiny-tinas-wonderlands-nails-the-nonsensical-improv-of-dd-quest-log/?utm_source=rss&utm_medium=rss&utm_campaign=tiny-tinas-wonderlands-nails-the-nonsensical-improv-of-dd-quest-log,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/tiny-tinas-wonderlands-nails-the-nonsensical-improv-of-dd-quest-log/?utm_source=rss&utm_medium=rss&utm_campaign=tiny-tinas-wonderlands-nails-the-nonsensical-improv-of-dd-quest-log'}]",Amy Campbell,[{'name': 'Amy Campbell'}],"Thu, 23 Jun 2022 16:00:08 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=16, tm_min=0, tm_sec=8, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'Quest Log', 'scheme': None, 'label': None}, {'term': 'Video Series', 'scheme': None, 'label': None}, {'term': '2K Games', 'scheme': None, 'label': None}, {'term': 'Featured', 'scheme': None, 'label': None}, {'term': 'Gearbox Software', 'scheme': None, 'label': None}, {'term': ""Tiny Tina's Wonderlands"", 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122665,False,"this week on quest log, amy campbell takes a look at one of her favorite quests in tiny tina’s wonderlands.",escapist_mag,1286680,"Tiny Tina’s Wonderlands Nails the Nonsensical Improv of D&D – Quest Log this week on quest log, amy campbell takes a look at one of her favorite quests in tiny tina’s wonderlands.","['quest log', 'a look', 'd&d', 'her favorite quests', 'amy campbell', 'tiny tina’s wonderlands', 'the nonsensical improv']",2022-06-23 16:00:08
"In ‘The Elysian Kingdom,’ Strange New Worlds Learns to Tell a New Story","{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'In ‘The Elysian Kingdom,’ Strange New Worlds Learns to Tell a New Story'}",https://www.escapistmagazine.com/star-trek-strange-new-worlds-episode-8-review-the-elysian-kingdom/?utm_source=rss&utm_medium=rss&utm_campaign=star-trek-strange-new-worlds-episode-8-review-the-elysian-kingdom,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/star-trek-strange-new-worlds-episode-8-review-the-elysian-kingdom/?utm_source=rss&utm_medium=rss&utm_campaign=star-trek-strange-new-worlds-episode-8-review-the-elysian-kingdom'}]",Darren Mooney,[{'name': 'Darren Mooney'}],"Thu, 23 Jun 2022 15:00:14 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=15, tm_min=0, tm_sec=14, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'Movies & TV', 'scheme': None, 'label': None}, {'term': 'Opinion', 'scheme': None, 'label': None}, {'term': 'Written Reviews', 'scheme': None, 'label': None}, {'term': 'Featured', 'scheme': None, 'label': None}, {'term': 'Paramount Plus', 'scheme': None, 'label': None}, {'term': 'Star Trek', 'scheme': None, 'label': None}, {'term': 'Star Trek: Strange New Worlds', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122657,False,"this discussion and review contains spoilers for star trek: strange new worlds episode 8, “the elysian kingdom.” “the elysian kingdom” is a very odd piece of television. given how conventional and formulaic the first season of strange new worlds has been to this point, that is a compliment. “the elysian kingdom” is just as rooted in franchise tropes and conventions as the previous seven episodes. however, it does draw from a more interesting and eccentric tradition within star trek, using the franchise’s science fiction setting to tell a more overtly fantastical story. it recalls classic adventures like “the squire of […]",escapist_mag,,"In ‘The Elysian Kingdom,’ Strange New Worlds Learns to Tell a New Story this discussion and review contains spoilers for star trek: strange new worlds episode 8, “the elysian kingdom.” “the elysian kingdom” is a very odd piece of television. given how conventional and formulaic the first season of strange new worlds has been to this point, that is a compliment. “the elysian kingdom” is just as rooted in franchise tropes and conventions as the previous seven episodes. however, it does draw from a more interesting and eccentric tradition within star trek, using the franchise’s science fiction setting to tell a more overtly fantastical story. it recalls classic adventures like “the squire of […]","['spoilers', 'star trek', 'the franchise’s science fiction', 'classic adventures', 'franchise tropes', 'conventions', 'a more overtly fantastical story', 'this discussion', 'strange new worlds episode', 'a very odd piece', 'the first season', 'review', 'television', 'this point', 'the elysian kingdom', 'a new story', 'a compliment', 'the squire', 'strange new worlds', 'the previous seven episodes', 'a more interesting and eccentric tradition']",2022-06-23 15:00:14
Neon White – Zero Punctuation,"{'type': 'text/plain', 'language': None, 'base': 'https://www.escapistmagazine.com/feed/', 'value': 'Neon White – Zero Punctuation'}",https://www.escapistmagazine.com/neon-white-zero-punctuation/?utm_source=rss&utm_medium=rss&utm_campaign=neon-white-zero-punctuation,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.escapistmagazine.com/neon-white-zero-punctuation/?utm_source=rss&utm_medium=rss&utm_campaign=neon-white-zero-punctuation'}]",Yahtzee Croshaw,[{'name': 'Yahtzee Croshaw'}],"Wed, 22 Jun 2022 16:00:57 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=22, tm_hour=16, tm_min=0, tm_sec=57, tm_wday=2, tm_yday=173, tm_isdst=0)","[{'term': 'Video Series', 'scheme': None, 'label': None}, {'term': 'Zero Punctuation', 'scheme': None, 'label': None}, {'term': 'Angel Matrix', 'scheme': None, 'label': None}, {'term': 'Annapurna Interactive', 'scheme': None, 'label': None}, {'term': 'Featured', 'scheme': None, 'label': None}, {'term': 'Neon White', 'scheme': None, 'label': None}]",https://www.escapistmagazine.com/?p=122636,False,"this week in zero punctuation, yahtzee reviews neon white. for more major games yahtz has reviewed lately, check out the quarry, sifu, hardspace: shipbreaker, salt and sacrifice, rogue legacy 2, and elden ring. want to watch zero punctuation ad-free? sign-up for the escapist + today and support your favorite content creators! we have a merch store as well! visit the store for brand new zp merch. transcript oh yahtzee, you should do diablo immortal. it’s a bit boring and the camera zooms in too close and also it’s the most insidious work of evil to ever be squeezed out from the black thorny anus of […]",escapist_mag,1533420,"Neon White – Zero Punctuation this week in zero punctuation, yahtzee reviews neon white. for more major games yahtz has reviewed lately, check out the quarry, sifu, hardspace: shipbreaker, salt and sacrifice, rogue legacy 2, and elden ring. want to watch zero punctuation ad-free? sign-up for the escapist + today and support your favorite content creators! we have a merch store as well! visit the store for brand new zp merch. transcript oh yahtzee, you should do diablo immortal. it’s a bit boring and the camera zooms in too close and also it’s the most insidious work of evil to ever be squeezed out from the black thorny anus of […]","['the store', 'the camera zooms', 'more major games', 'transcript', 'zero punctuation', 'your favorite content creators', 'a merch store', 'salt', 'neon', 'sacrifice', 'elden ring', 'brand new zp merch', 'the most insidious work', 'the quarry, sifu, hardspace: shipbreaker', 'yahtzee', 'neon white', 'evil', 'the escapist', 'rogue legacy', 'the black thorny anus', 'sign']",2022-06-22 16:00:57
