title,title_detail,link,links,author,authors,published,published_parsed,tags,id,guidislink,summary,source,appids,title_summary,nouns,date_str
"Despite Historic Crashes, Video Games Aren’t Over NFTs Just Yet","{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': 'Despite Historic Crashes, Video Games Aren’t Over NFTs Just Yet'}",https://kotaku.com/square-enix-liithos-ashfall-nft-hedara-blockchain-web3-1849105313,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/square-enix-liithos-ashfall-nft-hedara-blockchain-web3-1849105313'}]",Ari Notis,[{'name': 'Ari Notis'}],"Fri, 24 Jun 2022 16:35:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=16, tm_min=35, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'crystal dynamics', 'scheme': None, 'label': None}, {'term': 'john garvin', 'scheme': None, 'label': None}, {'term': 'square enix', 'scheme': None, 'label': None}, {'term': 'cryptocurrencies', 'scheme': None, 'label': None}, {'term': 'non fungible token', 'scheme': None, 'label': None}, {'term': 'computing', 'scheme': None, 'label': None}, {'term': 'ethereum', 'scheme': None, 'label': None}, {'term': 'articles', 'scheme': None, 'label': None}, {'term': 'blockchain', 'scheme': None, 'label': None}, {'term': 'michael mumbauer', 'scheme': None, 'label': None}, {'term': 'kotaku', 'scheme': None, 'label': None}, {'term': 'video game publishers', 'scheme': None, 'label': None}, {'term': 'enix', 'scheme': None, 'label': None}, {'term': 'technology internet', 'scheme': None, 'label': None}, {'term': 'technology', 'scheme': None, 'label': None}, {'term': 'decentralization', 'scheme': None, 'label': None}]",1849105313,False,"we were so close. as the nft market suffered one meteoric crash after another, and as some crypto-based games lost money by the hundreds of millions, it seemed for a second there that the gaming industry might come to its senses. but no. this week alone saw two major parties unveiling a commitment to smushing nfts and…read more...",kotaku,,"Despite Historic Crashes, Video Games Aren’t Over NFTs Just Yet we were so close. as the nft market suffered one meteoric crash after another, and as some crypto-based games lost money by the hundreds of millions, it seemed for a second there that the gaming industry might come to its senses. but no. this week alone saw two major parties unveiling a commitment to smushing nfts and…read more...","['the gaming industry', 'video games', 'another', 'the nft market', 'smushing nfts', 'historic crashes', 'nfts', 'its senses', 'some crypto-based games', 'money', 'two major parties', 'a commitment', 'the hundreds', 'one meteoric crash', 'millions']",2022-06-24 16:35:00
The Best Gear For Scoring Goals In Mario Strikers: Battle League,"{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': 'The Best Gear For Scoring Goals In Mario Strikers: Battle League'}",https://kotaku.com/mario-strikers-battle-league-gear-rosalina-nintendo-sw-1849102578,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/mario-strikers-battle-league-gear-rosalina-nintendo-sw-1849102578'}]",Eric Schulkin,[{'name': 'Eric Schulkin'}],"Fri, 24 Jun 2022 16:20:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=16, tm_min=20, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'mario strikers battle league', 'scheme': None, 'label': None}, {'term': 'mario', 'scheme': None, 'label': None}, {'term': 'video gaming', 'scheme': None, 'label': None}, {'term': 'draftmario strikers battle league', 'scheme': None, 'label': None}, {'term': 'english footballers', 'scheme': None, 'label': None}, {'term': 'video games', 'scheme': None, 'label': None}, {'term': 'sports', 'scheme': None, 'label': None}, {'term': 'creative works', 'scheme': None, 'label': None}]",1849102578,False,read more...,kotaku,,The Best Gear For Scoring Goals In Mario Strikers: Battle League read more...,"['mario strikers', 'the best gear', 'battle league', 'scoring goals']",2022-06-24 16:20:00
Sonic Origins Dev Goes Off On State Of The Game,"{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': 'Sonic Origins Dev Goes Off On State Of The Game'}",https://kotaku.com/sonic-origins-game-3-remastered-sega-crunch-bugs-port-b-1849105237,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/sonic-origins-game-3-remastered-sega-crunch-bugs-port-b-1849105237'}]",Jeremy Winslow,[{'name': 'Jeremy Winslow'}],"Fri, 24 Jun 2022 16:05:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=16, tm_min=5, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'sonic', 'scheme': None, 'label': None}, {'term': 'sonic origins', 'scheme': None, 'label': None}, {'term': 'video games developed in japan', 'scheme': None, 'label': None}, {'term': 'headcannon', 'scheme': None, 'label': None}, {'term': 'creative works', 'scheme': None, 'label': None}, {'term': 'windows games', 'scheme': None, 'label': None}, {'term': 'single player video games', 'scheme': None, 'label': None}, {'term': 'sonic the hedgehog 3', 'scheme': None, 'label': None}, {'term': 'platform games', 'scheme': None, 'label': None}, {'term': 'sonic mania', 'scheme': None, 'label': None}, {'term': 'michael jackson', 'scheme': None, 'label': None}, {'term': 'video games', 'scheme': None, 'label': None}, {'term': 'side scrolling video games', 'scheme': None, 'label': None}, {'term': 'sonic the hedgehog', 'scheme': None, 'label': None}, {'term': 'sonic cd', 'scheme': None, 'label': None}, {'term': 'yuji naka', 'scheme': None, 'label': None}, {'term': 'simon thomley', 'scheme': None, 'label': None}]",1849105237,False,"software developer simon “stealth” thomley of headcannon—the studio behind sonic mania—popped off on the state of the remastered sonic origins bundle, on which the team also worked. in a series of tweets, he said headcannon had to put in “major time crunch” and was barred from implementing “major fixes” before its…read more...",kotaku,1794960,"Sonic Origins Dev Goes Off On State Of The Game software developer simon “stealth” thomley of headcannon—the studio behind sonic mania—popped off on the state of the remastered sonic origins bundle, on which the team also worked. in a series of tweets, he said headcannon had to put in “major time crunch” and was barred from implementing “major fixes” before its…read more...","['the game software developer', 'the studio', 'tweets', 'state', 'simon “stealth” thomley', 'a series', 'headcannon', 'sonic origins dev', '“major fixes', 'sonic mania', 'the state', 'the remastered sonic origins bundle', 'the team', '“major time crunch']",2022-06-24 16:05:00
Pokémon Legends: Arceus Should Be The Template For The Series' Future,"{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': ""Pokémon Legends: Arceus Should Be The Template For The Series' Future""}",https://kotaku.com/pokemon-legends-arceus-gameplay-model-scarlet-violet-1849105177,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/pokemon-legends-arceus-gameplay-model-scarlet-violet-1849105177'}]",Lew Two,[{'name': 'Lew Two'}],"Fri, 24 Jun 2022 15:40:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=15, tm_min=40, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'pokemon legends arceus', 'scheme': None, 'label': None}, {'term': 'pokemon', 'scheme': None, 'label': None}, {'term': 'video games developed in japan', 'scheme': None, 'label': None}, {'term': 'creative works', 'scheme': None, 'label': None}, {'term': 'pokemon yellow', 'scheme': None, 'label': None}, {'term': 'role playing video games', 'scheme': None, 'label': None}, {'term': 'fads and trends', 'scheme': None, 'label': None}, {'term': 'video game sequels', 'scheme': None, 'label': None}, {'term': 'gameplay of pokemon', 'scheme': None, 'label': None}, {'term': 'pikachu', 'scheme': None, 'label': None}, {'term': 'mai', 'scheme': None, 'label': None}, {'term': 'video games', 'scheme': None, 'label': None}, {'term': 'eevee', 'scheme': None, 'label': None}, {'term': 'sword and shield', 'scheme': None, 'label': None}]",1849105177,False,"it’s clear that throughout its 26 year-long run, the pokémon games have maintained a level of consistency that plenty others wish they could replicate. truth is, this steady pace comes at a cost: the low-key quality of life buffs found in every entry often fall by the wayside come next time. as the months draw closer,…read more...",kotaku,,"Pokémon Legends: Arceus Should Be The Template For The Series' Future it’s clear that throughout its 26 year-long run, the pokémon games have maintained a level of consistency that plenty others wish they could replicate. truth is, this steady pace comes at a cost: the low-key quality of life buffs found in every entry often fall by the wayside come next time. as the months draw closer,…read more...","['its 26 year-long run', 'a cost', 'life buffs', 'the months', 'this steady pace', 'truth', 'a level', 'the pokémon games', 'the wayside', 'arceus', 'plenty others', 'closer,', 'every entry', 'the template', 'the low-key quality', ""the series' future"", 'consistency']",2022-06-24 15:40:00
"FromSoftware’s Next Game Almost Done, Staffing Up For ‘Several’ New Projects","{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': 'FromSoftware’s Next Game Almost Done, Staffing Up For ‘Several’ New Projects'}",https://kotaku.com/elden-ring-fromsoftware-bloodborne-armored-core-6-dark-1849104729,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/elden-ring-fromsoftware-bloodborne-armored-core-6-dark-1849104729'}]",Ethan Gach,[{'name': 'Ethan Gach'}],"Fri, 24 Jun 2022 14:38:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=14, tm_min=38, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'fromsoftware', 'scheme': None, 'label': None}, {'term': 'video games developed in japan', 'scheme': None, 'label': None}, {'term': 'bandai namco games', 'scheme': None, 'label': None}, {'term': 'creative works', 'scheme': None, 'label': None}, {'term': 'windows games', 'scheme': None, 'label': None}, {'term': 'hidetaka miyazaki', 'scheme': None, 'label': None}, {'term': 'deracine', 'scheme': None, 'label': None}, {'term': 'sekiro shadows die twice', 'scheme': None, 'label': None}, {'term': 'video games', 'scheme': None, 'label': None}, {'term': 'armored core', 'scheme': None, 'label': None}, {'term': 'third person shooters', 'scheme': None, 'label': None}, {'term': 'elden ring', 'scheme': None, 'label': None}, {'term': 'souls', 'scheme': None, 'label': None}]",1849104729,False,"elden ring finally released just a few months ago, topping the charts ever since, but fromsoftware doesn’t appear to be slowing down. the dark souls studio is already hiring for “multiple” new games, and director hidetaka miyazaki reports in a new interview that one of them is already close to completion.read more...",kotaku,1245620,"FromSoftware’s Next Game Almost Done, Staffing Up For ‘Several’ New Projects elden ring finally released just a few months ago, topping the charts ever since, but fromsoftware doesn’t appear to be slowing down. the dark souls studio is already hiring for “multiple” new games, and director hidetaka miyazaki reports in a new interview that one of them is already close to completion.read more...","['director hidetaka miyazaki reports', 'the dark souls studio', 'next game', 'several’ new projects elden ring', 'the charts', '“multiple” new games', 'a new interview', 'fromsoftware']",2022-06-24 14:38:00
5 Very Queer Games On Steam To Close Out Your Pride Month,"{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': '5 Very Queer Games On Steam To Close Out Your Pride Month'}",https://kotaku.com/best-queer-games-steam-pride-month-stardew-valley-1849104427,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/best-queer-games-steam-pride-month-stardew-valley-1849104427'}]",Ashley Bardhan,[{'name': 'Ashley Bardhan'}],"Fri, 24 Jun 2022 14:05:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=14, tm_min=5, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'queer', 'scheme': None, 'label': None}, {'term': 'pride parade', 'scheme': None, 'label': None}, {'term': 'video gaming', 'scheme': None, 'label': None}, {'term': 'stardew', 'scheme': None, 'label': None}, {'term': 'ymer', 'scheme': None, 'label': None}, {'term': 'video games', 'scheme': None, 'label': None}, {'term': 'robin morningwood', 'scheme': None, 'label': None}, {'term': 'haru', 'scheme': None, 'label': None}]",1849104427,False,"pride month has a political history—it originated from the the pivotal 1969 stonewall riots, and queer people, especially those of color, fight daily for safety and equality. but june is a time for pure revelry too, something that includes video games. read more...",kotaku,1581470,"5 Very Queer Games On Steam To Close Out Your Pride Month pride month has a political history—it originated from the the pivotal 1969 stonewall riots, and queer people, especially those of color, fight daily for safety and equality. but june is a time for pure revelry too, something that includes video games. read more...","['steam', 'especially those', 'pure revelry', 'video games', 'people', 'a time', 'your pride month pride month', 'a political history', 'the the pivotal 1969 stonewall riots', 'safety', 'equality', 'something', 'june', 'color', '5 very queer games']",2022-06-24 14:05:00
Pokémon GO Seems Set On Ruining Every Improvement From The Pandemic,"{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': 'Pokémon GO Seems Set On Ruining Every Improvement From The Pandemic'}",https://kotaku.com/pokemon-go-niantic-mobile-remote-raid-pass-legendary-ra-1849104441,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/pokemon-go-niantic-mobile-remote-raid-pass-legendary-ra-1849104441'}]",John Walker,[{'name': 'John Walker'}],"Fri, 24 Jun 2022 13:54:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=13, tm_min=54, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'pokemon go', 'scheme': None, 'label': None}, {'term': 'pokemon', 'scheme': None, 'label': None}, {'term': 'niantic', 'scheme': None, 'label': None}, {'term': 'video game controversies', 'scheme': None, 'label': None}, {'term': 'role playing video games', 'scheme': None, 'label': None}, {'term': 'fads and trends', 'scheme': None, 'label': None}, {'term': 'mewtwo', 'scheme': None, 'label': None}, {'term': 'video gaming', 'scheme': None, 'label': None}, {'term': 'video game characters', 'scheme': None, 'label': None}, {'term': 'genie', 'scheme': None, 'label': None}, {'term': 'video games', 'scheme': None, 'label': None}, {'term': 'augmented reality games', 'scheme': None, 'label': None}, {'term': 'games', 'scheme': None, 'label': None}]",1849104441,False,"of all the many excellent changes niantic made to pokémon go in the face of the global covid-19 pandemic, remote raiding seemed to be the one that was most likely to survive long-term. so of course, every new move the developer makes seems to be threatening its future.read more...",kotaku,,"Pokémon GO Seems Set On Ruining Every Improvement From The Pandemic of all the many excellent changes niantic made to pokémon go in the face of the global covid-19 pandemic, remote raiding seemed to be the one that was most likely to survive long-term. so of course, every new move the developer makes seems to be threatening its future.read more...","['the developer', 'the face', 'pokémon', 'pandemic, remote raiding', 'all the many excellent changes', 'every improvement', 'its future.read', 'the one', 'long-term', 'course', 'every new move', 'the pandemic', 'the global covid-19']",2022-06-24 13:54:00
Let’s Use Dall-E Mini To Conjure Up Half-Life 3 And Other Sequels We’ll Never Get,"{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': 'Let’s Use Dall-E Mini To Conjure Up Half-Life 3 And Other Sequels We’ll Never Get'}",https://kotaku.com/dall-e-mini-sequels-half-life-agent-titanfall-mass-effe-1849101326,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/dall-e-mini-sequels-half-life-agent-titanfall-mass-effe-1849101326'}]",Claire Jackson,[{'name': 'Claire Jackson'}],"Fri, 24 Jun 2022 13:30:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=13, tm_min=30, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'dall', 'scheme': None, 'label': None}, {'term': 'half life 3', 'scheme': None, 'label': None}, {'term': 'half life', 'scheme': None, 'label': None}, {'term': 'deacon', 'scheme': None, 'label': None}, {'term': 'films', 'scheme': None, 'label': None}, {'term': 'windows games', 'scheme': None, 'label': None}, {'term': 'the block brochure welcome to the soil 4', 'scheme': None, 'label': None}, {'term': 'titanfall', 'scheme': None, 'label': None}, {'term': 'gamestop', 'scheme': None, 'label': None}, {'term': 'sarah', 'scheme': None, 'label': None}, {'term': 'halo', 'scheme': None, 'label': None}, {'term': 'electronic arts games', 'scheme': None, 'label': None}, {'term': 'bourne', 'scheme': None, 'label': None}, {'term': 'ashley bardhan', 'scheme': None, 'label': None}, {'term': 'creative works', 'scheme': None, 'label': None}, {'term': 'grand theft auto v', 'scheme': None, 'label': None}, {'term': 'gordon freeman', 'scheme': None, 'label': None}, {'term': 'dino crisis', 'scheme': None, 'label': None}, {'term': 'google', 'scheme': None, 'label': None}, {'term': 'star wars', 'scheme': None, 'label': None}, {'term': 'half life 2', 'scheme': None, 'label': None}, {'term': 'jimmy', 'scheme': None, 'label': None}, {'term': 'kylo ren', 'scheme': None, 'label': None}, {'term': 'video games', 'scheme': None, 'label': None}, {'term': 'grand theft auto', 'scheme': None, 'label': None}, {'term': 'rise blood hunter', 'scheme': None, 'label': None}, {'term': 'zack zwiezen', 'scheme': None, 'label': None}, {'term': 'trevor philips', 'scheme': None, 'label': None}, {'term': 'ellie sattler', 'scheme': None, 'label': None}]",1849101326,False,"one of my favorite activities growing up as a video game nerd was randomly typing the names of fictional game, movie, or book sequels into google just to see what came up. i didn’t care if it was real or fake. i enjoyed the daydreaming that came from imagining “what if?”read more...",kotaku,271590,"Let’s Use Dall-E Mini To Conjure Up Half-Life 3 And Other Sequels We’ll Never Get one of my favorite activities growing up as a video game nerd was randomly typing the names of fictional game, movie, or book sequels into google just to see what came up. i didn’t care if it was real or fake. i enjoyed the daydreaming that came from imagining “what if?”read more...","['my favorite activities', 'half-life', 'google', 'the names', 'dall-e mini', 'fictional game', '’s', 'a video game nerd', 'book sequels', 'the daydreaming', 'movie']",2022-06-24 13:30:00
"Oh Yeah, Into The Breach Is Back, Baby","{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': 'Oh Yeah, Into The Breach Is Back, Baby'}",https://kotaku.com/into-the-breach-mobile-ios-android-netflix-advanced-edi-1849103038,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/into-the-breach-mobile-ios-android-netflix-advanced-edi-1849103038'}]",Luke Plunkett,[{'name': 'Luke Plunkett'}],"Fri, 24 Jun 2022 01:40:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=1, tm_min=40, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'breach', 'scheme': None, 'label': None}, {'term': 'nerd culture', 'scheme': None, 'label': None}, {'term': 'netflix', 'scheme': None, 'label': None}, {'term': 'games', 'scheme': None, 'label': None}, {'term': 'riley', 'scheme': None, 'label': None}, {'term': 'dungeons dragons', 'scheme': None, 'label': None}]",1849103038,False,"into the breach is one of the greatest turn-based tactics games of all time, so it was an absolute joy to hear earlier today that it is about to be updated with all kinds of new stuff.read more...",kotaku,,"Oh Yeah, Into The Breach Is Back, Baby into the breach is one of the greatest turn-based tactics games of all time, so it was an absolute joy to hear earlier today that it is about to be updated with all kinds of new stuff.read more...","['new stuff.read', 'the breach', 'the greatest turn-based tactics games', 'an absolute joy', 'all kinds', 'all time', 'baby']",2022-06-24 01:40:00
"Goodbye Zachtronics, Developers Of Very Cool Video Games","{'type': 'text/plain', 'language': None, 'base': 'https://kotaku.com/rss', 'value': 'Goodbye Zachtronics, Developers Of Very Cool Video Games'}",https://kotaku.com/zachtronics-farewell-goodbye-closing-eliza-last-call-bb-1849096767,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://kotaku.com/zachtronics-farewell-goodbye-closing-eliza-last-call-bb-1849096767'}]",Luke Plunkett,[{'name': 'Luke Plunkett'}],"Fri, 24 Jun 2022 00:30:00 GMT","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=0, tm_min=30, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'zachtronics', 'scheme': None, 'label': None}, {'term': 'software', 'scheme': None, 'label': None}, {'term': 'windows games', 'scheme': None, 'label': None}, {'term': 'single player video games', 'scheme': None, 'label': None}, {'term': 'linux games', 'scheme': None, 'label': None}, {'term': 'activision', 'scheme': None, 'label': None}, {'term': 'spacechem', 'scheme': None, 'label': None}, {'term': 'eliza fahey', 'scheme': None, 'label': None}, {'term': 'opus magnum', 'scheme': None, 'label': None}, {'term': 'puzzle video games', 'scheme': None, 'label': None}, {'term': 'matthew burns', 'scheme': None, 'label': None}, {'term': 'zach barth', 'scheme': None, 'label': None}, {'term': 'programming games', 'scheme': None, 'label': None}, {'term': 'computing', 'scheme': None, 'label': None}, {'term': 'video gaming', 'scheme': None, 'label': None}, {'term': 'exapunks', 'scheme': None, 'label': None}, {'term': 'gita', 'scheme': None, 'label': None}]",1849096767,False,"on july 5, zachtronics will be releasing last call bbs, a collection of stylish little puzzle games wrapped up in a retro pc gaming vibe. after 11 years in business (and even longer outside of commercial releases), a time which has seen the studio develop a cult following almost unrivalled in indie gaming, it will be…read more...",kotaku,92800,"Goodbye Zachtronics, Developers Of Very Cool Video Games on july 5, zachtronics will be releasing last call bbs, a collection of stylish little puzzle games wrapped up in a retro pc gaming vibe. after 11 years in business (and even longer outside of commercial releases), a time which has seen the studio develop a cult following almost unrivalled in indie gaming, it will be…read more...","['business', 'the studio', 'a cult', 'zachtronics', 'goodbye zachtronics', 'commercial releases', 'last call bbs', '11 years', 'a collection', 'stylish little puzzle games', 'very cool video games', 'a retro pc gaming vibe', 'developers', 'july', 'indie gaming']",2022-06-24 00:30:00
