title,title_detail,link,links,author,authors,published,published_parsed,tags,id,guidislink,summary,source,appids,title_summary,nouns,date_str
"Extraneum is a bit Doom, a tiny bit System Shock, and a huge bit fun","{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': 'Extraneum is a bit Doom, a tiny bit System Shock, and a huge bit fun'}",https://www.rockpapershotgun.com/extraneum-is-a-bit-doom-a-tiny-bit-system-shock-and-a-huge-bit-fun,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/extraneum-is-a-bit-doom-a-tiny-bit-system-shock-and-a-huge-bit-fun'}]",Sin Vega,[{'name': 'Sin Vega'}],"Fri, 24 Jun 2022 16:31:42 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=16, tm_min=31, tm_sec=42, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'FPS/Shooter', 'scheme': None, 'label': None}, {'term': 'Scout Report', 'scheme': None, 'label': None}, {'term': 'Supporters only', 'scheme': None, 'label': None}, {'term': 'Indie', 'scheme': None, 'label': None}, {'term': 'Indiescovery', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/extraneum-is-a-bit-doom-a-tiny-bit-system-shock-and-a-huge-bit-fun,False,"the old school fps revival has largely left me cold, if i'm honest. even the ones i've enjoyed tend to get old within an hour. most of the things that get recreated aren't the things i miss about 90s games, and if they were... doom still exists, you know? so does blood, and strife, and quake was never that good anyway.


extraneum is good, though. i think it's precisely because it's not doing a big song and dance about its influences, although those are very clear. it's not big or brash, nor overly stripped down or obnoxious about difficulty. clean blasty strafey fun, with a tiniest hint of horror. in an odd way, it's all the more faithful for that.

read more",rock_paper_sg,2310,"Extraneum is a bit Doom, a tiny bit System Shock, and a huge bit fun the old school fps revival has largely left me cold, if i'm honest. even the ones i've enjoyed tend to get old within an hour. most of the things that get recreated aren't the things i miss about 90s games, and if they were... doom still exists, you know? so does blood, and strife, and quake was never that good anyway.


extraneum is good, though. i think it's precisely because it's not doing a big song and dance about its influences, although those are very clear. it's not big or brash, nor overly stripped down or obnoxious about difficulty. clean blasty strafey fun, with a tiniest hint of horror. in an odd way, it's all the more faithful for that.

read more","['quake', 'an odd way', 'even the ones', 'strife', 'the things', 'horror', 'about 90s games', 'extraneum', 'the old school fps revival', 'blood', 'a huge bit fun', 'a tiniest hint', 'difficulty', 'extraneum', 'a big song', 'an hour', 'doom', 'a tiny bit system shock', 'a bit doom', 'blasty strafey fun', 'its influences']",2022-06-24 16:31:42
An extremely thorough grading of the best rain in video games,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': 'An extremely thorough grading of the best rain in video games'}",https://www.rockpapershotgun.com/an-extremely-thorough-grading-of-the-best-rain-in-video-games,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/an-extremely-thorough-grading-of-the-best-rain-in-video-games'}]",Ollie Toms,[{'name': 'Ollie Toms'}],"Fri, 24 Jun 2022 15:30:00 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=15, tm_min=30, tm_sec=0, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'Expansive Worlds', 'scheme': None, 'label': None}, {'term': 'Akupara Games', 'scheme': None, 'label': None}, {'term': 'The Cycle: Frontier', 'scheme': None, 'label': None}, {'term': 'Blockbuster', 'scheme': None, 'label': None}, {'term': 'The Witcher 3: Wild Hunt', 'scheme': None, 'label': None}, {'term': 'YAGER Development', 'scheme': None, 'label': None}, {'term': 'Simulation', 'scheme': None, 'label': None}, {'term': 'CD Projekt RED', 'scheme': None, 'label': None}, {'term': 'Inside', 'scheme': None, 'label': None}, {'term': 'Red Dead Redemption 2', 'scheme': None, 'label': None}, {'term': 'Playdead', 'scheme': None, 'label': None}, {'term': 'Rain World', 'scheme': None, 'label': None}, {'term': 'Cyberpunk 2077', 'scheme': None, 'label': None}, {'term': 'theHunter: Call of the Wild', 'scheme': None, 'label': None}, {'term': 'Rocksteady Studios', 'scheme': None, 'label': None}, {'term': 'Warner Bros Interactive Entertainment', 'scheme': None, 'label': None}, {'term': 'Videocult', 'scheme': None, 'label': None}, {'term': 'Batman: Arkham Knight', 'scheme': None, 'label': None}, {'term': 'Rockstar Games', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/an-extremely-thorough-grading-of-the-best-rain-in-video-games,False,"in the giant jumbled word cloud of all my qualities and traits, i'm willing to bet that ""pluviophile"" would be one of the biggest words. i adore rain. whenever it starts, i tend to drop whatever i'm doing - work, dishes, significant other - and i'll be out frolicking in the downpour before they've hit the floor.
because i love rain so much, i hold games to an almost unfair standard when it comes to the simulation of precipitation. how in the world can a videogame come close to emulating that wonderful, transcendental feeling of being outside in the middle of a thunderstorm? the answer is, it can't. games have to rely on other things, like textures, sounds, and clever little animations to really sell the idea of being out amongst the h₂s and the os.
the time has come, fellow pluviophiles. it's time to grade the very best rain that pc gaming has to offer. below you'll find our eight worthy contenders. each has been chosen for their spectacular rendition of one of nature's greatest phenomena. each one shall be marked according to my patented and cutting-edge wipers grading system for digital rain. so drop what you're doing. it's time to frolick. no umbrella required.
read more",rock_paper_sg,868270,"An extremely thorough grading of the best rain in video games in the giant jumbled word cloud of all my qualities and traits, i'm willing to bet that ""pluviophile"" would be one of the biggest words. i adore rain. whenever it starts, i tend to drop whatever i'm doing - work, dishes, significant other - and i'll be out frolicking in the downpour before they've hit the floor.
because i love rain so much, i hold games to an almost unfair standard when it comes to the simulation of precipitation. how in the world can a videogame come close to emulating that wonderful, transcendental feeling of being outside in the middle of a thunderstorm? the answer is, it can't. games have to rely on other things, like textures, sounds, and clever little animations to really sell the idea of being out amongst the h₂s and the os.
the time has come, fellow pluviophiles. it's time to grade the very best rain that pc gaming has to offer. below you'll find our eight worthy contenders. each has been chosen for their spectacular rendition of one of nature's greatest phenomena. each one shall be marked according to my patented and cutting-edge wipers grading system for digital rain. so drop what you're doing. it's time to frolick. no umbrella required.
read more","['system', 'the os', 'video games', 'no umbrella', 'our eight worthy contenders', 'a videogame', 'the simulation', 'that wonderful, transcendental feeling', 'digital rain', 'work', 'rain', 'the world', 'the giant jumbled word cloud', 'the biggest words', 'textures', 'whatever', 'their spectacular rendition', 'games', 'the very best rain', 'all my qualities', 'time', 'dishes', 'the downpour', 'the time', 'clever little animations', 'each one', 'the idea', 'an almost unfair standard', 'the best rain', ""nature's greatest phenomena"", 'the middle', 'precipitation', 'the answer', 'pc gaming', 'the h₂s', 'traits', 'my patented and cutting-edge wipers', 'a thunderstorm', 'the floor', 'other things']",2022-06-24 15:30:00
Buy 2357 bees for £3 then find them in these new hidden object games,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': 'Buy 2357 bees for £3 then find them in these new hidden object games'}",https://www.rockpapershotgun.com/buy-2357-bees-for-3-then-find-them-in-these-new-hidden-object-games,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/buy-2357-bees-for-3-then-find-them-in-these-new-hidden-object-games'}]",Alice O'Connor,"[{'name': ""Alice O'Connor""}]","Fri, 24 Jun 2022 10:48:23 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=10, tm_min=48, tm_sec=23, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'I Commissioned Some Bees', 'scheme': None, 'label': None}, {'term': 'bees', 'scheme': None, 'label': None}, {'term': 'hidden object', 'scheme': None, 'label': None}, {'term': 'I Commissioned Some Bees 2', 'scheme': None, 'label': None}, {'term': 'Puzzle', 'scheme': None, 'label': None}, {'term': 'Indie', 'scheme': None, 'label': None}, {'term': 'Indiescovery', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/buy-2357-bees-for-3-then-find-them-in-these-new-hidden-object-games,False,"a pair of new hidden object games have a pleasingly straightforward name to describe their inception: i commissioned some bees. the developer paid illustrators to draw pictures with bees, and you can find the bees. it's quite fun to find the bees. i got into hidden object games a few years back with the lovely hidden folks and the vast 100 hidden x series, and today have enjoyed poring over colourful and often surreal landscapes to find our striped friends.
read more",rock_paper_sg,1996420,"Buy 2357 bees for £3 then find them in these new hidden object games a pair of new hidden object games have a pleasingly straightforward name to describe their inception: i commissioned some bees. the developer paid illustrators to draw pictures with bees, and you can find the bees. it's quite fun to find the bees. i got into hidden object games a few years back with the lovely hidden folks and the vast 100 hidden x series, and today have enjoyed poring over colourful and often surreal landscapes to find our striped friends.
read more","['some bees', '2357 bees', 'colourful and often surreal landscapes', 'the bees', 'new hidden object games', 'the vast 100 hidden x series', 'today', 'bees', 'our striped friends', 'illustrators', 'the lovely hidden folks', 'the developer', 'a pair', 'pictures', 'their inception', 'hidden object games', 'a pleasingly straightforward name', 'these new hidden object games']",2022-06-24 10:48:23
Starfield's big reveal helped suppress my inner skeptic,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': ""Starfield's big reveal helped suppress my inner skeptic""}",https://www.rockpapershotgun.com/starfields-big-reveal-helped-suppress-my-inner-skeptic,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/starfields-big-reveal-helped-suppress-my-inner-skeptic'}]",Ed Thorn,[{'name': 'Ed Thorn'}],"Fri, 24 Jun 2022 10:00:26 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=24, tm_hour=10, tm_min=0, tm_sec=26, tm_wday=4, tm_yday=175, tm_isdst=0)","[{'term': 'E3 2022', 'scheme': None, 'label': None}, {'term': 'Summer Game Fest 2022', 'scheme': None, 'label': None}, {'term': 'Xbox + Bethesda Showcase 2022', 'scheme': None, 'label': None}, {'term': 'Bethesda Game Studios', 'scheme': None, 'label': None}, {'term': 'Bethesda Softworks', 'scheme': None, 'label': None}, {'term': 'Starfield', 'scheme': None, 'label': None}, {'term': 'Supporters only', 'scheme': None, 'label': None}, {'term': 'Open World', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/starfields-big-reveal-helped-suppress-my-inner-skeptic,False,"we finally got our first glimpse of starfield at the xbox & bethesda showcase at summer geoff fest, having seen lots of clips of todd howard speaking words with devs who nodded across tables. i partly share the same opinion as alice bee, who thought the game could've shown us anything and they chose grey rocks again.
what i wasn't expecting was to feel a bit emotional about the game's reveal, though. i mean, i felt this weird swell in my chest of excitement or something. maybe it was the crushing jet lag, or maybe it was a heady mixture of nostalgia. let's investigate.
read more",rock_paper_sg,1716740,"Starfield's big reveal helped suppress my inner skeptic we finally got our first glimpse of starfield at the xbox & bethesda showcase at summer geoff fest, having seen lots of clips of todd howard speaking words with devs who nodded across tables. i partly share the same opinion as alice bee, who thought the game could've shown us anything and they chose grey rocks again.
what i wasn't expecting was to feel a bit emotional about the game's reveal, though. i mean, i felt this weird swell in my chest of excitement or something. maybe it was the crushing jet lag, or maybe it was a heady mixture of nostalgia. let's investigate.
read more","['my chest', 'excitement', 'devs', 'the game', ""starfield's big reveal"", 'my inner skeptic', 'alice bee', 'summer geoff', 'the same opinion', 'todd howard speaking words', ""the game's reveal"", 'anything', 'this weird swell', 'tables', 'nostalgia', 'something', 'a heady mixture', 'the xbox & bethesda showcase', 'starfield', 'the crushing jet lag', 'clips', ""'s"", 'lots', 'us', 'our first glimpse', 'grey rocks']",2022-06-24 10:00:26
World Of Warcraft: Dragonflight aiming to launch in 2022,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': 'World Of Warcraft: Dragonflight aiming to launch in 2022'}",https://www.rockpapershotgun.com/world-of-warcraft-dragonflight-aiming-to-launch-in-2022,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/world-of-warcraft-dragonflight-aiming-to-launch-in-2022'}]",Graham Smith,[{'name': 'Graham Smith'}],"Thu, 23 Jun 2022 21:23:58 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=21, tm_min=23, tm_sec=58, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'World of Warcraft', 'scheme': None, 'label': None}, {'term': 'RPG', 'scheme': None, 'label': None}, {'term': 'Blizzard Entertainment', 'scheme': None, 'label': None}, {'term': 'MMO', 'scheme': None, 'label': None}, {'term': 'World of Warcraft: Dragonflight', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/world-of-warcraft-dragonflight-aiming-to-launch-in-2022,False,"blizzard launched pre-orders for world of warcraft: dragonflight this week, and in the small print on the battle.net store page is a note stating that the mmo's next expansion ""will be available on or before december 31, 2022."" that simultaneously confirms that dragonflight's release window is this year, and also threatens blizzard's staff with the potential for a pretty crappy new year's eve. 

read more",rock_paper_sg,,"World Of Warcraft: Dragonflight aiming to launch in 2022 blizzard launched pre-orders for world of warcraft: dragonflight this week, and in the small print on the battle.net store page is a note stating that the mmo's next expansion ""will be available on or before december 31, 2022."" that simultaneously confirms that dragonflight's release window is this year, and also threatens blizzard's staff with the potential for a pretty crappy new year's eve. 

read more","['warcraft', ""a pretty crappy new year's eve"", 'the small print', 'a note', '2022 blizzard', 'december', ""the mmo's next expansion"", 'world', 'the battle.net store page', 'dragonflight', '-', ""blizzard's staff"", 'pre', 'the potential', 'orders', ""dragonflight's release window""]",2022-06-23 21:23:58
"Into The Breach: Advanced Edition adds new mechs, missions and enemies next month","{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': 'Into The Breach: Advanced Edition adds new mechs, missions and enemies next month'}",https://www.rockpapershotgun.com/into-the-breach-advanced-edition-adds-new-mechs-missions-and-enemies-next-month,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/into-the-breach-advanced-edition-adds-new-mechs-missions-and-enemies-next-month'}]",Graham Smith,[{'name': 'Graham Smith'}],"Thu, 23 Jun 2022 20:57:58 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=20, tm_min=57, tm_sec=58, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'Subset Games', 'scheme': None, 'label': None}, {'term': 'Strategy', 'scheme': None, 'label': None}, {'term': 'Into the Breach', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/into-the-breach-advanced-edition-adds-new-mechs-missions-and-enemies-next-month,False,"into the breach was our second favourite game of 2018 and remains the best strategy game ever made. so it's exciting news that into the breach: advanced edition is coming next month with new mechs, weapons and enemies to shove around in a free update.

read more",rock_paper_sg,590380,"Into The Breach: Advanced Edition adds new mechs, missions and enemies next month into the breach was our second favourite game of 2018 and remains the best strategy game ever made. so it's exciting news that into the breach: advanced edition is coming next month with new mechs, weapons and enemies to shove around in a free update.

read more","['our second favourite game', 'weapons', 'missions', 'the breach', 'advanced edition', 'enemies', 'new mechs', 'a free update', 'the best strategy game', 'exciting news']",2022-06-23 20:57:58
Sonic creator fuels rumours of Michael Jackson's involvement with Sonic 3,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': ""Sonic creator fuels rumours of Michael Jackson's involvement with Sonic 3""}",https://www.rockpapershotgun.com/sonic-creator-fuels-rumours-of-michael-jacksons-involvement-with-sonic-3,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/sonic-creator-fuels-rumours-of-michael-jacksons-involvement-with-sonic-3'}]",Graham Smith,[{'name': 'Graham Smith'}],"Thu, 23 Jun 2022 20:29:03 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=20, tm_min=29, tm_sec=3, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'SEGA', 'scheme': None, 'label': None}, {'term': 'Sonic 3 & Knuckles', 'scheme': None, 'label': None}, {'term': 'Platformer', 'scheme': None, 'label': None}, {'term': 'Sonic Origins', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/sonic-creator-fuels-rumours-of-michael-jacksons-involvement-with-sonic-3,False,"as odd as it might sound, there has long been an urban legend that michael jackson was involved in creating part of the soundtrack for sonic 3. now sonic creator and sonic 3 programmer yuji naka has seemed to lend credence to that legend on twitter, as it relates to the replacement of certain tracks in the recently released remasters in sonic origins.

read more",rock_paper_sg,1794960,"Sonic creator fuels rumours of Michael Jackson's involvement with Sonic 3 as odd as it might sound, there has long been an urban legend that michael jackson was involved in creating part of the soundtrack for sonic 3. now sonic creator and sonic 3 programmer yuji naka has seemed to lend credence to that legend on twitter, as it relates to the replacement of certain tracks in the recently released remasters in sonic origins.

read more","['part', 'certain tracks', 'the recently released remasters', 'the replacement', ""michael jackson's involvement"", 'credence', 'sonic creator', 'twitter', 'that legend', 'the soundtrack', 'rumours', 'sonic origins', 'an urban legend', 'sonic 3 programmer yuji', 'michael jackson']",2022-06-23 20:29:03
A Plague Tale: Requiem reveals October 18th release date in grim new trailer,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': 'A Plague Tale: Requiem reveals October 18th release date in grim new trailer'}",https://www.rockpapershotgun.com/a-plague-tale-requiem-reveals-october-18th-release-date-in-grim-new-trailer,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/a-plague-tale-requiem-reveals-october-18th-release-date-in-grim-new-trailer'}]",Graham Smith,[{'name': 'Graham Smith'}],"Thu, 23 Jun 2022 20:07:28 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=20, tm_min=7, tm_sec=28, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'Focus Home Interactive', 'scheme': None, 'label': None}, {'term': 'Asobo Studio', 'scheme': None, 'label': None}, {'term': 'A Plague Tale: Requiem', 'scheme': None, 'label': None}, {'term': 'Action Adventure', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/a-plague-tale-requiem-reveals-october-18th-release-date-in-grim-new-trailer,False,"a plague tale: requiem is a stealth game with several fantastical elements. the first fantasy is that you can consistently remember how to spell ""requiem"". the second is 'what would it be like if you had the power of rats?'. the third is, 'what if rats had any power to have?'. as a new extended trailer shows, the answer is: you can sense blood, and use that power to avoid the guards who want to do a big murder on you and your sister.

the trailer is worth watching for its own sake, but also comes with news: requiem will launch on october 18th, forwarding another fantasy called 'what if a game actually came out in 2022 and wasn't delayed until next year?'.

read more",rock_paper_sg,1182900,"A Plague Tale: Requiem reveals October 18th release date in grim new trailer a plague tale: requiem is a stealth game with several fantastical elements. the first fantasy is that you can consistently remember how to spell ""requiem"". the second is 'what would it be like if you had the power of rats?'. the third is, 'what if rats had any power to have?'. as a new extended trailer shows, the answer is: you can sense blood, and use that power to avoid the guards who want to do a big murder on you and your sister.

the trailer is worth watching for its own sake, but also comes with news: requiem will launch on october 18th, forwarding another fantasy called 'what if a game actually came out in 2022 and wasn't delayed until next year?'.

read more","['any power', 'october 18th release date', 'its own sake', 'a new extended trailer shows', 'october 18th', 'next year', 'your sister', 'that power', 'the first fantasy', 'blood', 'a plague tale', 'a stealth game', 'requiem', 'the trailer', 'several fantastical elements', 'news', 'the answer', 'the guards', 'rats', 'a big murder', 'another fantasy', 'grim new trailer', 'a game']",2022-06-23 20:07:28
The Blade Runner game's new remaster looks worse,"{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': ""The Blade Runner game's new remaster looks worse""}",https://www.rockpapershotgun.com/the-blade-runner-games-new-remaster-looks-worse,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/the-blade-runner-games-new-remaster-looks-worse'}]",Alice O'Connor,"[{'name': ""Alice O'Connor""}]","Thu, 23 Jun 2022 17:11:21 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=17, tm_min=11, tm_sec=21, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'Blade Runner: Enhanced Edition', 'scheme': None, 'label': None}, {'term': 'Nightdive Studios', 'scheme': None, 'label': None}, {'term': 'Story Rich', 'scheme': None, 'label': None}, {'term': 'Science Fiction', 'scheme': None, 'label': None}, {'term': 'Westwood Studios', 'scheme': None, 'label': None}, {'term': 'Blade Runner', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/the-blade-runner-games-new-remaster-looks-worse,False,"there are two reasons to consider playing the new 'enhanced edition' of blade runner over the version which hit gog in 2019: 1) it has controller support; 2) it's on consoles. beyond that, nightdive's remastering has made westwood's 1997 adventure game look notably uglier and you'd be better off with gog's scummvm version. the enhanced edition is out today and i've been flicking back and forth between the two versions, tutting. the enhanced edition still looks like a 25-year-old game, only now it looks 25 years old, blurry, and unlike itself.
read more",rock_paper_sg,1678420,"The Blade Runner game's new remaster looks worse there are two reasons to consider playing the new 'enhanced edition' of blade runner over the version which hit gog in 2019: 1) it has controller support; 2) it's on consoles. beyond that, nightdive's remastering has made westwood's 1997 adventure game look notably uglier and you'd be better off with gog's scummvm version. the enhanced edition is out today and i've been flicking back and forth between the two versions, tutting. the enhanced edition still looks like a 25-year-old game, only now it looks 25 years old, blurry, and unlike itself.
read more","[""gog's scummvm version"", 'controller support', 'blade runner', ""the blade runner game's new remaster"", ""the new 'enhanced edition"", 'the version', ""westwood's 1997 adventure game"", 'a 25-year-old game', 'the enhanced edition', 'consoles', 'the two versions', ""nightdive's remastering"", 'two reasons']",2022-06-23 17:11:21
"The Rally Point: The Heroic Legend Of Eagarlnia is a sort of light grand strategy, somehow","{'type': 'text/plain', 'language': None, 'base': 'http://feeds.feedburner.com/RockPaperShotgun', 'value': 'The Rally Point: The Heroic Legend Of Eagarlnia is a sort of light grand strategy, somehow'}",https://www.rockpapershotgun.com/the-rally-point-the-heroic-legend-of-eagarlnia-is-a-sort-of-light-grand-strategy-somehow,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.rockpapershotgun.com/the-rally-point-the-heroic-legend-of-eagarlnia-is-a-sort-of-light-grand-strategy-somehow'}]",Sin Vega,[{'name': 'Sin Vega'}],"Thu, 23 Jun 2022 16:43:19 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=23, tm_hour=16, tm_min=43, tm_sec=19, tm_wday=3, tm_yday=174, tm_isdst=0)","[{'term': 'The Rally Point', 'scheme': None, 'label': None}, {'term': 'The Heroic Legend Of Eagarlnia', 'scheme': None, 'label': None}, {'term': 'Pixmain', 'scheme': None, 'label': None}, {'term': 'HongShou Studio', 'scheme': None, 'label': None}, {'term': 'Strategy', 'scheme': None, 'label': None}]",https://www.rockpapershotgun.com/the-rally-point-the-heroic-legend-of-eagarlnia-is-a-sort-of-light-grand-strategy-somehow,False,"i still don't know whether to describe the heroic legend of eagarlnia as ""complicated"" or ""simple"". before starting a game, it gives an impression of being a complex grand strategy that's something like a fantasy total war with a d&d alignment system and a distinctly east asian focus on characters and dialogue.
it's far simpler than that. there was a period of disappointment, even, when it seemed like there wasn't much to it at all. that's partly because it's easy to play it too passively, or get stuck in attritional stand offs, and partly because of the need for a bit too much repetition. but over time its subtler details become more apparent, and your choices start to feel more multifaceted.
and yet, it remains at heart the same throughout. on your first ten turns you're doing the same actions as in your 200th, and its battles in particular are largely hands off. so maybe it's complicated, but simple to actually play? hmm.
read more",rock_paper_sg,1116880,"The Rally Point: The Heroic Legend Of Eagarlnia is a sort of light grand strategy, somehow i still don't know whether to describe the heroic legend of eagarlnia as ""complicated"" or ""simple"". before starting a game, it gives an impression of being a complex grand strategy that's something like a fantasy total war with a d&d alignment system and a distinctly east asian focus on characters and dialogue.
it's far simpler than that. there was a period of disappointment, even, when it seemed like there wasn't much to it at all. that's partly because it's easy to play it too passively, or get stuck in attritional stand offs, and partly because of the need for a bit too much repetition. but over time its subtler details become more apparent, and your choices start to feel more multifaceted.
and yet, it remains at heart the same throughout. on your first ten turns you're doing the same actions as in your 200th, and its battles in particular are largely hands off. so maybe it's complicated, but simple to actually play? hmm.
read more","['light grand strategy', 'characters', 'a distinctly east asian focus', 'an impression', 'attritional stand offs', 'a fantasy total war', 'your first ten turns', 'a sort', 'its battles', 'a complex grand strategy', 'disappointment', 'eagarlnia', 'your 200th', 'heart', 'the need', 'time', 'the same actions', 'dialogue', 'the heroic legend', 'your choices', 'a bit too much repetition', 'a period', 'something', 'a d&d alignment system', 'a game', 'its subtler details']",2022-06-23 16:43:19
