Unnamed: 0,title,title_detail,link,links,author,authors,published,published_parsed,tags,id,guidislink,summary,source,appids,title_summary,nouns,date_str,sum_word_cnt,dict_word_cnt,polarity_score_summary,sentiment_summary,polarity_score_title,sentiment_title,NER
0,‘Dread Delusion’ Explores Open Worlds Plagued by Undead Curses,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Dread Delusion’ Explores Open Worlds Plagued by Undead Curses'}",https://indiegamesplus.com/dread-delusion-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/dread-delusion-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Wed, 22 Jun 2022 11:00:16 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=22, tm_hour=11, tm_min=0, tm_sec=16, tm_wday=2, tm_yday=173, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'dread delusion', 'scheme': None, 'label': None}, {'term': 'early access', 'scheme': None, 'label': None}, {'term': 'exploration', 'scheme': None, 'label': None}, {'term': 'horror', 'scheme': None, 'label': None}, {'term': 'Lovely Hellplace', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50185,False,"dread delusion finds adventure and danger beneath a blood-red sky, carving a path through lands infested with strange, exciting monstrosities. the lands below have been infected with an undead curse, and humanity...
the post ‘dread delusion’ explores open worlds plagued by undead curses appeared first on indie games plus.",indigames_plus,1574240,"‘Dread Delusion’ Explores Open Worlds Plagued by Undead Curses dread delusion finds adventure and danger beneath a blood-red sky, carving a path through lands infested with strange, exciting monstrosities. the lands below have been infected with an undead curse, and humanity...
the post ‘dread delusion’ explores open worlds plagued by undead curses appeared first on indie games plus.","['undead curses', 'lands', 'a blood-red sky', 'a path', 'danger', 'the lands', 'open worlds', 'indie games', 'dread delusion', 'adventure', 'strange, exciting monstrosities', 'undead']",2022-06-22 11:00:16,49,"{'dread': 1, 'delusion': 1, 'finds': 1, 'adventure': 1, 'and': 2, 'danger': 1, 'beneath': 1, 'a': 2, 'blood-red': 1, 'sky,': 1, 'carving': 1, 'path': 1, 'through': 1, 'lands': 2, 'infested': 1, 'with': 2, 'strange,': 1, 'exciting': 1, 'monstrosities.': 1, 'the': 2, 'below': 1, 'have': 1, 'been': 1, 'infected': 1, 'an': 1, 'undead': 2, 'curse,': 1, 'humanity...': 1, 'post': 1, '‘dread': 1, 'delusion’': 1, 'explores': 1, 'open': 1, 'worlds': 1, 'plagued': 1, 'by': 1, 'curses': 1, 'appeared': 1, 'first': 1, 'on': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.239, 'neu': 0.673, 'pos': 0.088, 'compound': -0.8555}",negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,{'first': 'ORDINAL'}
1,Trailer Tuesday – Influence the Lovely Lake,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': 'Trailer Tuesday – Influence the Lovely Lake'}",https://indiegamesplus.com/trailer-tuesday-influence-the-lovely-lake/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/trailer-tuesday-influence-the-lovely-lake/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Tue, 21 Jun 2022 11:00:51 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=21, tm_hour=11, tm_min=0, tm_sec=51, tm_wday=1, tm_yday=172, tm_isdst=0)","[{'term': 'Features', 'scheme': None, 'label': None}, {'term': 'A Story Beside', 'scheme': None, 'label': None}, {'term': 'Ashina: The Red Witch', 'scheme': None, 'label': None}, {'term': 'HAYAI', 'scheme': None, 'label': None}, {'term': 'Influence Inc.', 'scheme': None, 'label': None}, {'term': 'My Lovely Wife', 'scheme': None, 'label': None}, {'term': 'Mysteries Under Lake Ophelia', 'scheme': None, 'label': None}, {'term': 'Pinku Kult Hex Mortis', 'scheme': None, 'label': None}, {'term': 'Reality Layer Zero', 'scheme': None, 'label': None}, {'term': 'Tin Can', 'scheme': None, 'label': None}, {'term': 'trailer tuesday', 'scheme': None, 'label': None}, {'term': 'Z-Warp', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50126,False,"trailer tuesday sees us using social media to influence others, casting lines in a strange lake, and trying to survive in a complicated escape pod.   influence, inc. ﻿ “manage a digital...
the post trailer tuesday – influence the lovely lake appeared first on indie games plus.",indigames_plus,634410,"Trailer Tuesday – Influence the Lovely Lake trailer tuesday sees us using social media to influence others, casting lines in a strange lake, and trying to survive in a complicated escape pod.   influence, inc. ﻿ “manage a digital...
the post trailer tuesday – influence the lovely lake appeared first on indie games plus.","['a strange lake', 'inc. \ufeff', 'the post trailer', 'social media', 'the lovely lake trailer', 'the lovely lake', 'lines', 'indie games', 'us', 'a complicated escape pod', 'influence', 'others']",2022-06-21 11:00:51,46,"{'trailer': 2, 'tuesday': 2, 'sees': 1, 'us': 1, 'using': 1, 'social': 1, 'media': 1, 'to': 2, 'influence': 2, 'others,': 1, 'casting': 1, 'lines': 1, 'in': 2, 'a': 3, 'strange': 1, 'lake,': 1, 'and': 1, 'trying': 1, 'survive': 1, 'complicated': 1, 'escape': 1, 'pod.': 1, 'influence,': 1, 'inc.': 1, '\ufeff': 1, '“manage': 1, 'digital...': 1, 'the': 2, 'post': 1, '–': 1, 'lovely': 1, 'lake': 1, 'appeared': 1, 'first': 1, 'on': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.036, 'neu': 0.855, 'pos': 0.109, 'compound': 0.5719}",positive,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.5859}",positive,"{'trailer tuesday': 'DATE', 'first': 'ORDINAL'}"
2,‘Witchtastic’ Tasks Multiple Witches With Brewing Potions Together,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Witchtastic’ Tasks Multiple Witches With Brewing Potions Together'}",https://indiegamesplus.com/witchtastic-preview/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/witchtastic-preview/'}]",Jupiter Hadley,[{'name': 'Jupiter Hadley'}],"Mon, 20 Jun 2022 11:00:31 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=20, tm_hour=11, tm_min=0, tm_sec=31, tm_wday=0, tm_yday=171, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'local co-op', 'scheme': None, 'label': None}, {'term': 'multiplayer', 'scheme': None, 'label': None}, {'term': 'online co-op', 'scheme': None, 'label': None}, {'term': 'Red Fur Games', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}, {'term': 'Witchtastic', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50053,False,"witchtastic is a much less chaotic overcooked-style cooking game, but instead of making different meals, you brew potions to give to an owl to deliver. scrolls at the top of the screen...
the post ‘witchtastic’ tasks multiple witches with brewing potions together appeared first on indie games plus.",indigames_plus,1080010,"‘Witchtastic’ Tasks Multiple Witches With Brewing Potions Together witchtastic is a much less chaotic overcooked-style cooking game, but instead of making different meals, you brew potions to give to an owl to deliver. scrolls at the top of the screen...
the post ‘witchtastic’ tasks multiple witches with brewing potions together appeared first on indie games plus.","['the post ‘witchtastic’ tasks', 'multiple witches', 'an owl', 'the screen', '‘witchtastic’ tasks', 'brewing potions', 'potions', 'scrolls', 'indie games', 'a much less chaotic overcooked-style cooking game', 'different meals', 'the top']",2022-06-20 11:00:31,48,"{'witchtastic': 1, 'is': 1, 'a': 1, 'much': 1, 'less': 1, 'chaotic': 1, 'overcooked-style': 1, 'cooking': 1, 'game,': 1, 'but': 1, 'instead': 1, 'of': 2, 'making': 1, 'different': 1, 'meals,': 1, 'you': 1, 'brew': 1, 'potions': 2, 'to': 3, 'give': 1, 'an': 1, 'owl': 1, 'deliver.': 1, 'scrolls': 1, 'at': 1, 'the': 3, 'top': 1, 'screen...': 1, 'post': 1, '‘witchtastic’': 1, 'tasks': 1, 'multiple': 1, 'witches': 1, 'with': 1, 'brewing': 1, 'together': 1, 'appeared': 1, 'first': 1, 'on': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.039, 'neu': 0.917, 'pos': 0.044, 'compound': 0.0635}",positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,{'first': 'ORDINAL'}
3,‘Kaiju Wars’ Aims to Strategically Stall and Misdirect Giant Monsters,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Kaiju Wars’ Aims to Strategically Stall and Misdirect Giant Monsters'}",https://indiegamesplus.com/kaiju-wars-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/kaiju-wars-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Fri, 17 Jun 2022 11:00:04 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=17, tm_hour=11, tm_min=0, tm_sec=4, tm_wday=4, tm_yday=168, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Foolish Mortals Games', 'scheme': None, 'label': None}, {'term': 'Kaiju Wars', 'scheme': None, 'label': None}, {'term': 'Linux', 'scheme': None, 'label': None}, {'term': 'Mac', 'scheme': None, 'label': None}, {'term': 'Michael Long', 'scheme': None, 'label': None}, {'term': 'strategy', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50120,False,"kaiju wars has you under attack from colossal beasts, and you’ll never beat them. if you can use tanks, jets, and buildings to misdirect them enough, though… as the mayor of floatio...
the post ‘kaiju wars’ aims to strategically stall and misdirect giant monsters appeared first on indie games plus.",indigames_plus,1508400,"‘Kaiju Wars’ Aims to Strategically Stall and Misdirect Giant Monsters kaiju wars has you under attack from colossal beasts, and you’ll never beat them. if you can use tanks, jets, and buildings to misdirect them enough, though… as the mayor of floatio...
the post ‘kaiju wars’ aims to strategically stall and misdirect giant monsters appeared first on indie games plus.","['buildings', 'the mayor', 'giant monsters kaiju wars', 'jets', 'giant monsters', 'floatio', 'colossal beasts', 'attack', 'indie games', 'tanks']",2022-06-17 11:00:04,50,"{'kaiju': 1, 'wars': 1, 'has': 1, 'you': 2, 'under': 1, 'attack': 1, 'from': 1, 'colossal': 1, 'beasts,': 1, 'and': 3, 'you’ll': 1, 'never': 1, 'beat': 1, 'them.': 1, 'if': 1, 'can': 1, 'use': 1, 'tanks,': 1, 'jets,': 1, 'buildings': 1, 'to': 2, 'misdirect': 2, 'them': 1, 'enough,': 1, 'though…': 1, 'as': 1, 'the': 2, 'mayor': 1, 'of': 1, 'floatio...': 1, 'post': 1, '‘kaiju': 1, 'wars’': 1, 'aims': 1, 'strategically': 1, 'stall': 1, 'giant': 1, 'monsters': 1, 'appeared': 1, 'first': 1, 'on': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.8176}",negative,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.2023}",negative,"{'kaiju': 'PERSON', 'first': 'ORDINAL'}"
4,‘Uninvited’ Dodges Ghosts That Come For Sweaty Victims,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Uninvited’ Dodges Ghosts That Come For Sweaty Victims'}",https://indiegamesplus.com/uninvited-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/uninvited-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Thu, 16 Jun 2022 11:00:55 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=16, tm_hour=11, tm_min=0, tm_sec=55, tm_wday=3, tm_yday=167, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'horror', 'scheme': None, 'label': None}, {'term': 'octavi navarro', 'scheme': None, 'label': None}, {'term': 'susanna granell', 'scheme': None, 'label': None}, {'term': 'Uninvited', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50110,False,"a hot summer day is a lousy time to be hunted by a ghost that can track you by your sweat. uninvited will see you trying to stay dry and alive in...
the post ‘uninvited’ dodges ghosts that come for sweaty victims appeared first on indie games plus.",indigames_plus,1838340,"‘Uninvited’ Dodges Ghosts That Come For Sweaty Victims a hot summer day is a lousy time to be hunted by a ghost that can track you by your sweat. uninvited will see you trying to stay dry and alive in...
the post ‘uninvited’ dodges ghosts that come for sweaty victims appeared first on indie games plus.","['the post', 'your sweat', 'a lousy time', 'ghosts', 'a hot summer day', 'indie games', 'a ghost', '‘uninvited’ dodges ghosts', 'sweaty victims']",2022-06-16 11:00:55,48,"{'a': 3, 'hot': 1, 'summer': 1, 'day': 1, 'is': 1, 'lousy': 1, 'time': 1, 'to': 2, 'be': 1, 'hunted': 1, 'by': 2, 'ghost': 1, 'that': 2, 'can': 1, 'track': 1, 'you': 2, 'your': 1, 'sweat.': 1, 'uninvited': 1, 'will': 1, 'see': 1, 'trying': 1, 'stay': 1, 'dry': 1, 'and': 1, 'alive': 1, 'in...': 1, 'the': 1, 'post': 1, '‘uninvited’': 1, 'dodges': 1, 'ghosts': 1, 'come': 1, 'for': 1, 'sweaty': 1, 'victims': 1, 'appeared': 1, 'first': 1, 'on': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.148, 'neu': 0.804, 'pos': 0.048, 'compound': -0.6705}",negative,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",negative,{'first': 'ORDINAL'}
5,‘DRAINUS’ – A Shmup of Striking Back With Carefully-Absorbed Damage,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘DRAINUS’ – A Shmup of Striking Back With Carefully-Absorbed Damage'}",https://indiegamesplus.com/drainus-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/drainus-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Wed, 15 Jun 2022 11:00:27 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=15, tm_hour=11, tm_min=0, tm_sec=27, tm_wday=2, tm_yday=166, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'DRAINUS', 'scheme': None, 'label': None}, {'term': 'shmup', 'scheme': None, 'label': None}, {'term': 'Team Ladybug', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}, {'term': 'WSS playground', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50084,False,"drainus gives you a reflector shield that lets you temporarily devour damaging shots and fire them right back at your enemies.  if you use it with care. you’re a slave to the...
the post ‘drainus’ – a shmup of striking back with carefully-absorbed damage appeared first on indie games plus.",indigames_plus,1975360,"‘DRAINUS’ – A Shmup of Striking Back With Carefully-Absorbed Damage drainus gives you a reflector shield that lets you temporarily devour damaging shots and fire them right back at your enemies.  if you use it with care. you’re a slave to the...
the post ‘drainus’ – a shmup of striking back with carefully-absorbed damage appeared first on indie games plus.","['a shmup', 'a reflector shield', 'care', 'damaging shots', 'the...\nthe post ‘drainus', 'a slave', 'indie games', '‘drainus', 'carefully-absorbed damage drainus', 'carefully-absorbed damage', 'your enemies']",2022-06-15 11:00:27,50,"{'drainus': 1, 'gives': 1, 'you': 3, 'a': 3, 'reflector': 1, 'shield': 1, 'that': 1, 'lets': 1, 'temporarily': 1, 'devour': 1, 'damaging': 1, 'shots': 1, 'and': 1, 'fire': 1, 'them': 1, 'right': 1, 'back': 2, 'at': 1, 'your': 1, 'enemies.': 1, 'if': 1, 'use': 1, 'it': 1, 'with': 2, 'care.': 1, 'you’re': 1, 'slave': 1, 'to': 1, 'the...': 1, 'the': 1, 'post': 1, '‘drainus’': 1, '–': 1, 'shmup': 1, 'of': 1, 'striking': 1, 'carefully-absorbed': 1, 'damage': 1, 'appeared': 1, 'first': 1, 'on': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.201, 'neu': 0.746, 'pos': 0.053, 'compound': -0.836}",negative,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.4939}",negative,{'first': 'ORDINAL'}
6,"Trailer Tuesday – Climb the Turtle Dome, Please","{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': 'Trailer Tuesday – Climb the Turtle Dome, Please'}",https://indiegamesplus.com/trailer-tuesday-climb-the-turtle-dome-please/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/trailer-tuesday-climb-the-turtle-dome-please/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Tue, 14 Jun 2022 11:00:26 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=14, tm_hour=11, tm_min=0, tm_sec=26, tm_wday=1, tm_yday=165, tm_isdst=0)","[{'term': 'Features', 'scheme': None, 'label': None}, {'term': 'BORE DOME', 'scheme': None, 'label': None}, {'term': 'Madshot', 'scheme': None, 'label': None}, {'term': 'Please', 'scheme': None, 'label': None}, {'term': 'Stereophyta', 'scheme': None, 'label': None}, {'term': 'The Cleaner', 'scheme': None, 'label': None}, {'term': 'The Night of the Scissors', 'scheme': None, 'label': None}, {'term': 'trailer tuesday', 'scheme': None, 'label': None}, {'term': 'Turtle Paint', 'scheme': None, 'label': None}, {'term': 'Underland: The Climb', 'scheme': None, 'label': None}, {'term': 'Void Pyramid', 'scheme': None, 'label': None}, {'term': 'Wildcat Gun Machine', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50089,False,"trailer tuesday finds music in every action, channels creativity into painting some turtles, and captures the feeling of boredom and mediocrity.   the night of the scissors ﻿ “encouraged by his friend,...
the post trailer tuesday – climb the turtle dome, please appeared first on indie games plus.",indigames_plus,1206090,"Trailer Tuesday – Climb the Turtle Dome, Please trailer tuesday finds music in every action, channels creativity into painting some turtles, and captures the feeling of boredom and mediocrity.   the night of the scissors ﻿ “encouraged by his friend,...
the post trailer tuesday – climb the turtle dome, please appeared first on indie games plus.","['the post trailer', 'the turtle dome', 'every action', 'some turtles', 'the night', 'music', 'channels creativity', 'the feeling', 'mediocrity', 'the scissors', '\ufeff', 'his friend', 'tuesday', 'indie games', 'boredom']",2022-06-14 11:00:26,47,"{'trailer': 2, 'tuesday': 2, 'finds': 1, 'music': 1, 'in': 1, 'every': 1, 'action,': 1, 'channels': 1, 'creativity': 1, 'into': 1, 'painting': 1, 'some': 1, 'turtles,': 1, 'and': 2, 'captures': 1, 'the': 5, 'feeling': 1, 'of': 2, 'boredom': 1, 'mediocrity.': 1, 'night': 1, 'scissors': 1, '\ufeff': 1, '“encouraged': 1, 'by': 1, 'his': 1, 'friend,...': 1, 'post': 1, '–': 1, 'climb': 1, 'turtle': 1, 'dome,': 1, 'please': 1, 'appeared': 1, 'first': 1, 'on': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.066, 'neu': 0.756, 'pos': 0.177, 'compound': 0.7184}",positive,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}",positive,"{'trailer tuesday': 'DATE', 'first': 'ORDINAL'}"
7,‘Everdream Valley’ Tends Your Grandparents’ Fields on Summer Holiday,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Everdream Valley’ Tends Your Grandparents’ Fields on Summer Holiday'}",https://indiegamesplus.com/everdream-valley-preview/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/everdream-valley-preview/'}]",Jupiter Hadley,[{'name': 'Jupiter Hadley'}],"Mon, 13 Jun 2022 11:00:48 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=13, tm_hour=11, tm_min=0, tm_sec=48, tm_wday=0, tm_yday=164, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Everdream Valley', 'scheme': None, 'label': None}, {'term': 'Mooneaters', 'scheme': None, 'label': None}, {'term': 'simulation', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50048,False,"everdream valley is an adorable farming game where you can spend a few months helping your grandparents work the fields and raise the livestock. slice of life, farming indie games are among...
the post ‘everdream valley’ tends your grandparents’ fields on summer holiday appeared first on indie games plus.",indigames_plus,1403650,"‘Everdream Valley’ Tends Your Grandparents’ Fields on Summer Holiday everdream valley is an adorable farming game where you can spend a few months helping your grandparents work the fields and raise the livestock. slice of life, farming indie games are among...
the post ‘everdream valley’ tends your grandparents’ fields on summer holiday appeared first on indie games plus.","['a few months', '‘everdream valley', 'life', 'your grandparents’ fields', 'an adorable farming game', 'your grandparents', 'slice', 'the fields', 'indie games', 'summer holiday everdream valley', 'summer holiday', 'the post ‘everdream valley', 'the livestock']",2022-06-13 11:00:48,49,"{'everdream': 1, 'valley': 1, 'is': 1, 'an': 1, 'adorable': 1, 'farming': 2, 'game': 1, 'where': 1, 'you': 1, 'can': 1, 'spend': 1, 'a': 1, 'few': 1, 'months': 1, 'helping': 1, 'your': 2, 'grandparents': 1, 'work': 1, 'the': 3, 'fields': 2, 'and': 1, 'raise': 1, 'livestock.': 1, 'slice': 1, 'of': 1, 'life,': 1, 'indie': 2, 'games': 2, 'are': 1, 'among...': 1, 'post': 1, '‘everdream': 1, 'valley’': 1, 'tends': 1, 'grandparents’': 1, 'on': 2, 'summer': 1, 'holiday': 1, 'appeared': 1, 'first': 1, 'plus.': 1}","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.7964}",positive,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}",positive,"{'a few months': 'DATE', 'summer holiday': 'DATE', 'first': 'ORDINAL'}"
8,‘Rogue Legacy 2’ – A Stunning Improvement on an Already-Great Roguelite,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Rogue Legacy 2’ – A Stunning Improvement on an Already-Great Roguelite'}",https://indiegamesplus.com/rogue-legacy-2-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/rogue-legacy-2-review/'}]",Dann Sullivan,[{'name': 'Dann Sullivan'}],"Fri, 10 Jun 2022 11:00:32 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=10, tm_hour=11, tm_min=0, tm_sec=32, tm_wday=4, tm_yday=161, tm_isdst=0)","[{'term': 'Reviews', 'scheme': None, 'label': None}, {'term': 'action', 'scheme': None, 'label': None}, {'term': 'Cellar Door Games', 'scheme': None, 'label': None}, {'term': 'exploration', 'scheme': None, 'label': None}, {'term': 'Rogue Legacy 2', 'scheme': None, 'label': None}, {'term': 'roguelite', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}, {'term': 'xbox one', 'scheme': None, 'label': None}, {'term': 'xbox series x/s', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50017,False,"with new classes, traits, and other additions, rogue legacy 2 improves on everything the original did well while slipping in some other great elements. rogue legacy was all about succession. well, that...
the post ‘rogue legacy 2’ – a stunning improvement on an already-great roguelite appeared first on indie games plus.",indigames_plus,1253920,"‘Rogue Legacy 2’ – A Stunning Improvement on an Already-Great Roguelite with new classes, traits, and other additions, rogue legacy 2 improves on everything the original did well while slipping in some other great elements. rogue legacy was all about succession. well, that...
the post ‘rogue legacy 2’ – a stunning improvement on an already-great roguelite appeared first on indie games plus.","['succession', 'rogue legacy', 'other additions', 'new classes', 'an already-great roguelite', 'a stunning improvement', '...\nthe post', 'everything', 'indie games', '‘rogue legacy', 'traits', 'some other great elements']",2022-06-10 11:00:32,51,"{'with': 1, 'new': 1, 'classes,': 1, 'traits,': 1, 'and': 1, 'other': 2, 'additions,': 1, 'rogue': 2, 'legacy': 3, '2': 1, 'improves': 1, 'on': 3, 'everything': 1, 'the': 2, 'original': 1, 'did': 1, 'well': 1, 'while': 1, 'slipping': 1, 'in': 1, 'some': 1, 'great': 1, 'elements.': 1, 'was': 1, 'all': 1, 'about': 1, 'succession.': 1, 'well,': 1, 'that...': 1, 'post': 1, '‘rogue': 1, '2’': 1, '–': 1, 'a': 1, 'stunning': 1, 'improvement': 1, 'an': 1, 'already-great': 1, 'roguelite': 1, 'appeared': 1, 'first': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.9571}",positive,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}",positive,"{'2': 'CARDINAL', 'first': 'ORDINAL'}"
9,‘Will Die Alone’ Deletes Memories to Create the Future You Want,"{'type': 'text/plain', 'language': None, 'base': 'https://indiegamesplus.com/feed/', 'value': '‘Will Die Alone’ Deletes Memories to Create the Future You Want'}",https://indiegamesplus.com/will-die-alone-review/,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://indiegamesplus.com/will-die-alone-review/'}]",Joel Couture,[{'name': 'Joel Couture'}],"Thu, 09 Jun 2022 11:00:42 +0000","time.struct_time(tm_year=2022, tm_mon=6, tm_mday=9, tm_hour=11, tm_min=0, tm_sec=42, tm_wday=3, tm_yday=160, tm_isdst=0)","[{'term': 'News', 'scheme': None, 'label': None}, {'term': 'Arianna Ravioli', 'scheme': None, 'label': None}, {'term': 'narrative', 'scheme': None, 'label': None}, {'term': 'nintendo switch', 'scheme': None, 'label': None}, {'term': 'simulation', 'scheme': None, 'label': None}, {'term': 'Will Die Alone', 'scheme': None, 'label': None}, {'term': 'windows', 'scheme': None, 'label': None}, {'term': 'xbox one', 'scheme': None, 'label': None}, {'term': 'xbox series x/s', 'scheme': None, 'label': None}]",https://indiegamesplus.com/?p=50091,False,"will die alone tasks you with purging just the right memories from peoples’ minds in order to shape their future into what they want it to be. the dewitt corp has developed...
the post ‘will die alone’ deletes memories to create the future you want appeared first on indie games plus.",indigames_plus,1879820,"‘Will Die Alone’ Deletes Memories to Create the Future You Want will die alone tasks you with purging just the right memories from peoples’ minds in order to shape their future into what they want it to be. the dewitt corp has developed...
the post ‘will die alone’ deletes memories to create the future you want appeared first on indie games plus.","['the dewitt corp', 'peoples’ minds', 'the post', 'their future', 'order', 'memories', 'just the right memories', 'indie games', 'the future']",2022-06-09 11:00:42,51,"{'will': 1, 'die': 2, 'alone': 1, 'tasks': 1, 'you': 2, 'with': 1, 'purging': 1, 'just': 1, 'the': 4, 'right': 1, 'memories': 2, 'from': 1, 'peoples’': 1, 'minds': 1, 'in': 1, 'order': 1, 'to': 3, 'shape': 1, 'their': 1, 'future': 2, 'into': 1, 'what': 1, 'they': 1, 'want': 2, 'it': 1, 'be.': 1, 'dewitt': 1, 'corp': 1, 'has': 1, 'developed...': 1, 'post': 1, '‘will': 1, 'alone’': 1, 'deletes': 1, 'create': 1, 'appeared': 1, 'first': 1, 'on': 1, 'indie': 1, 'games': 1, 'plus.': 1}","{'neg': 0.165, 'neu': 0.756, 'pos': 0.079, 'compound': -0.7964}",negative,"{'neg': 0.255, 'neu': 0.523, 'pos': 0.222, 'compound': -0.3612}",negative,"{'the dewitt corp': 'ORG', 'first': 'ORDINAL'}"
