,appids,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
0,1574240,Dread Delusion,Lovely Hellplace,Dread XP,,124,5,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0,English,"Action, Adventure, Indie, RPG, Early Access","[{'Early Access': 334, 'RPG': 303, 'Adventure': 292, 'Exploration': 271, 'Open World': 268, 'Story Rich': 256, 'Dark Fantasy': 249, 'First-Person': 246, 'Magic': 229, 'Character Customization': 221, '3D': 212, 'Medieval': 200, 'Metroidvania': 187, 'Pixel Graphics': 183, 'Souls-like': 180, 'Stylized': 163, ""1990's"": 152, 'Fantasy': 127, 'Action-Adventure': 108, 'Action RPG': 92}]"
1,634410,A Story Beside,Wayward Prophet,Wayward Prophet,,146,3,0,"0 .. 20,000",0,0,0,0,1499,1499,0,2,English,"Adventure, Casual, Indie","[{'Story Rich': 174, 'Choices Matter': 167, 'Emotional': 164, 'Female Protagonist': 162, 'Life Sim': 158, 'Romance': 151, 'Top-Down': 150, 'Interactive Fiction': 147, 'Exploration': 144, 'RPGMaker': 141, 'Relaxing': 141, 'Adventure': 139, 'Pixel Graphics': 126, 'Casual': 119, 'Atmospheric': 113, 'Fantasy': 102, 'Choose Your Own Adventure': 93, 'Colorful': 76, 'Singleplayer': 73, 'LGBTQ+': 59}]"
2,1080010,Witchtastic,Red Fur Games,Application Systems Heidelberg,,115,10,0,"0 .. 20,000",0,0,0,0,1799,1799,0,0,"English, German, French, Italian, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Russian","Action, Casual, Indie, Simulation","[{'Multiplayer': 140, 'Online Co-Op': 134, 'Local Co-Op': 130, 'Co-op': 128, 'Casual': 124, 'Funny': 116, 'Indie': 113, 'Action': 111, '4 Player Local': 109, 'Local Multiplayer': 107, 'Family Friendly': 104, 'Controller': 98, 'Cute': 93, 'Cooking': 91, 'Comedy': 88, 'Singleplayer': 84, 'Difficult': 75, 'Simulation': 72, 'Colorful': 48, 'Strategy': 42}]"
3,1508400,Kaiju Wars,"Foolish Mortals Games, Michael Long",Foolish Mortals Games,,106,8,0,"20,000 .. 50,000",12,0,12,0,1699,1999,15,3,"English, French, German, Spanish - Spain, Japanese, Russian, Simplified Chinese, Korean, Portuguese - Brazil","Indie, Strategy","[{'Tactical': 776, 'Sci-fi': 596, 'Singleplayer': 595, 'Strategy': 591, 'Turn-Based': 587, 'Turn-Based Strategy': 581, 'Turn-Based Tactics': 579, 'Mechs': 576, 'Adventure': 568, 'Action': 563, 'PvE': 555, '2D': 550, 'Stylized': 537, 'Colorful': 537, 'Isometric': 534, 'Base-Building': 522, 'Action-Adventure': 512, 'Combat': 504, 'Tactical RPG': 497, 'Turn-Based Combat': 492}]"
4,1838340,Uninvited,Octavi Navarro,Octavi Navarro,,24,2,0,"0 .. 20,000",0,0,0,0,699,699,0,1,English,"Adventure, Indie","[{'Indie': 279, 'Survival Horror': 274, 'Adventure': 274, 'Horror': 269, 'Psychological Horror': 264, 'Action-Adventure': 243, 'First-Person': 236, 'Mystery': 228, 'Supernatural': 219, 'Dark': 209, 'Story Rich': 199, '3D': 188, 'Pixel Graphics': 175, 'Hidden Object': 173, 'Exploration': 159, 'Atmospheric': 142, 'Singleplayer': 127, 'Immersive': 107, 'Emotional': 88, 'Resource Management': 68}]"
5,1975360,DRAINUS,"Team Ladybug, WSS playground","WSS playground, PLAYISM",,322,11,0,"0 .. 20,000",0,0,0,0,1199,1499,20,5,"Japanese, English, Simplified Chinese","Action, Indie","[{'Action': 67, 'Indie': 51, ""Shoot 'Em Up"": 46, 'Shooter': 38, 'Singleplayer': 36, '2D': 27, 'Female Protagonist': 26, 'Bullet Hell': 7}]"
6,1206090,BORE DOME,Goblin Rage,Goblin Rage,,20,0,0,"0 .. 20,000",0,0,0,0,999,999,0,1,English,"Action, Adventure, Casual, Indie, RPG, Simulation","[{'Simulation': 123, 'Indie': 117, 'First-Person': 114, 'Comedy': 112, 'Experimental': 109, 'Arcade': 102, 'Life Sim': 100, 'Exploration': 98, 'Time Management': 96, '2D': 94, '3D': 92, 'Colorful': 90, 'Psychological': 89, 'Drama': 80, 'Funny': 79, 'Memes': 77, 'Physics': 74, 'Singleplayer': 70, 'Casual': 68, 'RPG': 51}]"
7,1403650,Everdream Valley,Mooneaters,VARSAV Game Studios,,0,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0,"English, French, Italian, German, Spanish - Spain, Polish",Adventure,[[]]
8,1253920,Rogue Legacy 2,Cellar Door Games,Cellar Door Games,,7958,937,0,"200,000 .. 500,000",1113,214,1094,313,2499,2499,0,2201,"English, French, Italian, German, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish","Action, Adventure, Indie, RPG","[{'Rogue-lite': 133, 'Metroidvania': 127, 'Indie': 121, 'Action': 121, 'Platformer': 116, 'Adventure': 100, 'Arcade': 95, 'RPG': 94, 'Rogue-like': 86, 'Difficult': 76, '2D': 66, 'Singleplayer': 63, 'Side Scroller': 61, 'Procedural Generation': 55, 'Roguevania': 50, 'Cartoony': 50, 'Action Roguelike': 48, 'Souls-like': 43, 'Early Access': 35, 'Multiplayer': 10}]"
9,1879820,Will Die Alone,Arianna Ravioli,Fantastico Studio,,13,2,0,"0 .. 20,000",0,0,0,0,499,499,0,0,English,"Adventure, Indie","[{'Text-Based': 194, 'Simulation': 188, 'Story Rich': 184, 'Multiple Endings': 180, 'Visual Novel': 175, 'Choose Your Own Adventure': 168, 'Casual': 166, 'Political': 164, 'Psychological Horror': 160, 'Point & Click': 157, 'Choices Matter': 153, 'Adventure': 148, 'Interactive Fiction': 142, 'Dystopian ': 140, 'Atmospheric': 129, '2D': 123, 'Female Protagonist': 121, 'LGBTQ+': 117, 'Dark': 107, 'Narration': 93}]"
